"OBJECTID_1","Suitability","Jurisdiction","RPC","Acres","Shape_Length","Shape_Area"
0,"Moderately Suited","Stamford","BCRC",0.62208425149633,0,0
0,"Marginally Suited","Stamford","BCRC",10.5113948961221,0,0
0,"Moderately Suited","Stamford","BCRC",6.58280502114689,0,0
0,"Moderately Suited","Stamford","BCRC",4.76059383112178,0,0
0,"Moderately Suited","Stamford","BCRC",6.53050685311277,0,0
0,"Moderately Suited","Stamford","BCRC",17.9227263471026,0,0
0,"Moderately Suited","Stamford","BCRC",16.2813991415422,0,0
0,"Not Suited","Stamford","BCRC",17.6441811325512,0,0
0,"Not Suited","Stamford","BCRC",19.2179357732672,0,0
0,"Moderately Suited","Stamford","BCRC",17.600268159838,0,0
0,"Moderately Suited","Stamford","BCRC",4.72193288481623,0,0
0,"Marginally Suited","Stamford","BCRC",0.764332924334991,0,0
0,"Moderately Suited","Stamford","BCRC",0.561690298421745,0,0
0,"Moderately Suited","Stamford","BCRC",7.04800328431576,0,0
0,"Marginally Suited","Stamford","BCRC",12.8183309436528,0,0
0,"Moderately Suited","Stamford","BCRC",1.64246254738355,0,0
0,"Moderately Suited","Stamford","BCRC",74.046777057219,0,0
0,"Not Suited","Stamford","BCRC",30.7982652245973,0,0
0,"Well Suited","Stamford","BCRC",5.97682748770286,0,0
0,"Moderately Suited","Stamford","BCRC",18.4005200423355,0,0
0,"Not Suited","Stamford","BCRC",3.11281845696973,0,0
0,"Moderately Suited","Stamford","BCRC",0.773938960115087,0,0
0,"Well Suited","Stamford","BCRC",7.7564012290297,0,0
0,"Not Suited","Stamford","BCRC",3.42279403691825,0,0
0,"Moderately Suited","Stamford","BCRC",4.45569896142198,0,0
0,"Not Suited","Stamford","BCRC",7.3965574792902,0,0
0,"Moderately Suited","Stamford","BCRC",10.7870006814724,0,0
0,"Moderately Suited","Stamford","BCRC",17.7136304786658,0,0
0,"Moderately Suited","Stamford","BCRC",29.8173047291285,0,0
0,"Moderately Suited","Stamford","BCRC",101.342677654943,0,0
0,"Moderately Suited","Stamford","BCRC",12.711903918121,0,0
0,"Moderately Suited","Stamford","BCRC",13.2418905887272,0,0
0,"Moderately Suited","Stamford","BCRC",35.9757944052072,0,0
0,"Moderately Suited","Stamford","BCRC",10.7654058773058,0,0
0,"Not Suited","Stamford","BCRC",2.21051933633922,0,0
0,"Moderately Suited","Stamford","BCRC",41.4893208466017,0,0
0,"Well Suited","Stamford","BCRC",10.4691410610064,0,0
0,"Marginally Suited","Stamford","BCRC",182.644045439458,0,0
0,"Not Suited","Stamford","BCRC",7.07784645609701,0,0
0,"Moderately Suited","Stamford","BCRC",5.68013647666242,0,0
0,"Moderately Suited","Stamford","BCRC",42.3165243432429,0,0
0,"Moderately Suited","Stamford","BCRC",43.500875542864,0,0
0,"Well Suited","Stamford","BCRC",30.6356990578361,0,0
0,"Marginally Suited","Stamford","BCRC",11.5362160733996,0,0
0,"Well Suited","Stamford","BCRC",64.935475031039,0,0
0,"Well Suited","Stamford","BCRC",23.7734092295508,0,0
0,"Well Suited","Stamford","BCRC",6.12481975742128,0,0
0,"Moderately Suited","Stamford","BCRC",8.23350648510289,0,0
0,"Well Suited","Stamford","BCRC",58.0669731302015,0,0
0,"Well Suited","Stamford","BCRC",33.8046660112033,0,0
0,"Moderately Suited","Stamford","BCRC",30.1684802200178,0,0
0,"Well Suited","Stamford","BCRC",158.634402482789,0,0
0,"Moderately Suited","Stamford","BCRC",1197.37029552809,0,0
0,"Not Suited","Stamford","BCRC",1080.97225828464,0,0
0,"Moderately Suited","Stamford","BCRC",10.8341556566529,0,0
0,"Marginally Suited","Stamford","BCRC",9.81787438112009,0,0
0,"Marginally Suited","Stamford","BCRC",21.2006772368546,0,0
0,"Well Suited","Stamford","BCRC",105.74018505051,0,0
0,"Well Suited","Stamford","BCRC",27.5802152172429,0,0
