"OBJECTID_1","Suitability","Jurisdiction","RPC","Acres","Shape_Length","Shape_Area"
0,"Not Suited","Huntington","CCRPC",0.0117525190578228,0,0
0,"Not Rated","Huntington","CCRPC",3.68848533653165,0,0
0,"Marginally Suited","Huntington","CCRPC",0.0365962032045085,0,0
0,"Not Suited","Huntington","CCRPC",0.45991904887243,0,0
0,"Not Suited","Huntington","CCRPC",0.000742836169919271,0,0
0,"Marginally Suited","Huntington","CCRPC",179.818734814588,0,0
0,"Moderately Suited","Huntington","CCRPC",25.9581305242093,0,0
0,"Not Suited","Huntington","CCRPC",7.28037327049815,0,0
0,"Moderately Suited","Huntington","CCRPC",75.6420195322439,0,0
0,"Not Suited","Huntington","CCRPC",86.3130889465781,0,0
0,"Not Suited","Huntington","CCRPC",1213.33976098482,0,0
0,"Moderately Suited","Huntington","CCRPC",109.625212889159,0,0
0,"Well Suited","Huntington","CCRPC",1.29731065378477,0,0
0,"Moderately Suited","Huntington","CCRPC",8.6100647632111,0,0
0,"Well Suited","Huntington","CCRPC",1.28608512301636,0,0
0,"Moderately Suited","Huntington","CCRPC",3.95402201046336,0,0
0,"Marginally Suited","Huntington","CCRPC",8.19291392106504,0,0
0,"Moderately Suited","Huntington","CCRPC",5.47317072034789,0,0
0,"Moderately Suited","Huntington","CCRPC",2.38892079202661,0,0
0,"Moderately Suited","Huntington","CCRPC",6.86403036759388,0,0
0,"Well Suited","Huntington","CCRPC",3.05327196901427,0,0
0,"Well Suited","Huntington","CCRPC",5.48041830397775,0,0
0,"Not Rated","Huntington","CCRPC",1.57216743575642,0,0
0,"Marginally Suited","Huntington","CCRPC",3.55299887496139,0,0
0,"Not Suited","Huntington","CCRPC",6.72345086763003,0,0
0,"Moderately Suited","Huntington","CCRPC",12.1385098536337,0,0
0,"Well Suited","Huntington","CCRPC",3.00562564349766,0,0
0,"Marginally Suited","Huntington","CCRPC",1.8861080433131,0,0
0,"Marginally Suited","Huntington","CCRPC",2.568419999354,0,0
0,"Not Suited","Huntington","CCRPC",4.27486819419133,0,0
0,"Marginally Suited","Huntington","CCRPC",1.83004769755752,0,0
0,"Not Suited","Huntington","CCRPC",1.82357705291141,0,0
0,"Marginally Suited","Huntington","CCRPC",1.89060476281566,0,0
0,"Marginally Suited","Huntington","CCRPC",5.30559980495618,0,0
0,"Not Suited","Huntington","CCRPC",1.99294000208765,0,0
0,"Not Rated","Huntington","CCRPC",1.1245693753332,0,0
0,"Not Suited","Huntington","CCRPC",3.43693555328416,0,0
0,"Marginally Suited","Huntington","CCRPC",4.32013109226474,0,0
0,"Marginally Suited","Huntington","CCRPC",2.23434244353817,0,0
0,"Marginally Suited","Huntington","CCRPC",1.76525484329039,0,0
0,"Not Suited","Huntington","CCRPC",524.135701026345,0,0
0,"Marginally Suited","Huntington","CCRPC",3.32568642265131,0,0
0,"Marginally Suited","Huntington","CCRPC",4.66992537253203,0,0
0,"Marginally Suited","Huntington","CCRPC",4.80151512608022,0,0
0,"Moderately Suited","Huntington","CCRPC",5.36203416863566,0,0
0,"Moderately Suited","Huntington","CCRPC",5.24585978688589,0,0
0,"Marginally Suited","Huntington","CCRPC",56.4008834758678,0,0
0,"Not Suited","Huntington","CCRPC",2.24133655228815,0,0
0,"Marginally Suited","Huntington","CCRPC",7.77592029903071,0,0
0,"Marginally Suited","Huntington","CCRPC",20.8238452892876,0,0
0,"Marginally Suited","Huntington","CCRPC",3.66258522531853,0,0
0,"Moderately Suited","Huntington","CCRPC",10.6434873286115,0,0
0,"Marginally Suited","Huntington","CCRPC",40.5618681966968,0,0
0,"Moderately Suited","Huntington","CCRPC",552.417008780525,0,0
0,"Not Suited","Huntington","CCRPC",15.5176018592255,0,0
0,"Marginally Suited","Huntington","CCRPC",21.7482509448009,0,0
0,"Not Suited","Huntington","CCRPC",20.0305563189044,0,0
0,"Moderately Suited","Huntington","CCRPC",140.852036991815,0,0
0,"Marginally Suited","Huntington","CCRPC",49.4352858311363,0,0
0,"Not Suited","Huntington","CCRPC",488.839027814306,0,0
0,"Not Suited","Huntington","CCRPC",938.415898756514,0,0
0,"Marginally Suited","Huntington","CCRPC",0.00850666212745792,0,0
0,"Not Suited","Huntington","CCRPC",0.000667258448112246,0,0
0,"Marginally Suited","Huntington","CCRPC",200.472268069268,0,0
0,"Well Suited","Huntington","CCRPC",14.7202810455353,0,0
0,"Marginally Suited","Huntington","CCRPC",2.65450301561928,0,0
0,"Not Suited","Huntington","CCRPC",85.08406815634,0,0
0,"Not Suited","Huntington","CCRPC",175.744426118586,0,0
0,"Not Rated","Huntington","CCRPC",0.477813638356501,0,0
0,"Not Suited","Buels Gore","CCRPC",12.378923442449,0,0
0,"Not Suited","Huntington","CCRPC",6.99561867588134,0,0
0,"Marginally Suited","Huntington","CCRPC",13.868344628961,0,0
0,"Not Suited","Buels Gore","CCRPC",17.9516236888874,0,0
0,"Not Suited","Buels Gore","CCRPC",33.4664374572826,0,0
0,"Not Rated","Buels Gore","CCRPC",6.15328223617578,0,0
0,"Moderately Suited","Buels Gore","CCRPC",12.8386390756176,0,0
0,"Moderately Suited","Buels Gore","CCRPC",4.88197416651527,0,0
0,"Not Rated","Buels Gore","CCRPC",6.20844878379246,0,0
0,"Marginally Suited","Buels Gore","CCRPC",1.88536877557236,0,0
0,"Not Rated","Buels Gore","CCRPC",3.84548394627505,0,0
0,"Not Suited","Buels Gore","CCRPC",1451.23949268779,0,0
0,"Marginally Suited","Buels Gore","CCRPC",0.0169621326929684,0,0
0,"Not Suited","Buels Gore","CCRPC",0.000157768064593335,0,0
0,"Not Suited","Buels Gore","CCRPC",0.0033480197632259,0,0
0,"Not Suited","Huntington","CCRPC",0.100201828210008,0,0
0,"Not Suited","Buels Gore","CCRPC",0.0569310939872815,0,0
0,"Moderately Suited","Buels Gore","CCRPC",0.00504650895396677,0,0
0,"Well Suited","Buels Gore","CCRPC",0.0435721365496958,0,0
0,"Moderately Suited","Buels Gore","CCRPC",0.0450787352667924,0,0
0,"Well Suited","Buels Gore","CCRPC",0.043041282296166,0,0
0,"Moderately Suited","Buels Gore","CCRPC",0.0409998641602963,0,0
0,"Moderately Suited","Buels Gore","CCRPC",43.432439859275,0,0
0,"Not Suited","Buels Gore","CCRPC",468.583119160329,0,0
0,"Moderately Suited","Buels Gore","CCRPC",8.92992993277592,0,0
0,"Moderately Suited","Buels Gore","CCRPC",0.466615830003813,0,0
0,"Not Suited","Buels Gore","CCRPC",5.59099110426846e-05,0,0
0,"Moderately Suited","Buels Gore","CCRPC",42.2793128164411,0,0
0,"Marginally Suited","Buels Gore","CCRPC",2.06843852558968,0,0
0,"Marginally Suited","Buels Gore","CCRPC",6.97154705262425,0,0
0,"Not Suited","Buels Gore","CCRPC",4.66939174661254,0,0
0,"Moderately Suited","Buels Gore","CCRPC",16.5504392502458,0,0
0,"Marginally Suited","Buels Gore","CCRPC",5.58215945636969,0,0
0,"Moderately Suited","Buels Gore","CCRPC",0.00154085895183674,0,0
0,"Moderately Suited","Buels Gore","CCRPC",102.03159197002,0,0
0,"Not Suited","Buels Gore","CCRPC",8.8763652992647,0,0
0,"Marginally Suited","Buels Gore","CCRPC",2.08938524208609,0,0
0,"Moderately Suited","Buels Gore","CCRPC",2.62428154839689,0,0
0,"Not Suited","Buels Gore","CCRPC",4.09101765335826,0,0
0,"Not Suited","Buels Gore","CCRPC",73.5250274030902,0,0
0,"Not Suited","Buels Gore","CCRPC",3.40333748260227,0,0
0,"Not Suited","Buels Gore","CCRPC",2.43906126099852,0,0
0,"Marginally Suited","Buels Gore","CCRPC",1.78356726374017,0,0
0,"Marginally Suited","Buels Gore","CCRPC",3.17078882304664,0,0
0,"Not Rated","Buels Gore","CCRPC",5.41459680532024,0,0
0,"Not Rated","Buels Gore","CCRPC",2.67844445640525,0,0
0,"Marginally Suited","Buels Gore","CCRPC",147.512579359242,0,0
0,"Moderately Suited","Buels Gore","CCRPC",2.99399493274432,0,0
0,"Moderately Suited","Buels Gore","CCRPC",6.74420312264738,0,0
0,"Moderately Suited","Buels Gore","CCRPC",1.90928905164627,0,0
0,"Marginally Suited","Buels Gore","CCRPC",2.81518002554904,0,0
0,"Marginally Suited","Buels Gore","CCRPC",7.46472857749032,0,0
0,"Not Rated","Buels Gore","CCRPC",4.20424888512718,0,0
0,"Marginally Suited","Buels Gore","CCRPC",11.6627418052154,0,0
0,"Marginally Suited","Huntington","CCRPC",0.000126060979696856,0,0
0,"Not Rated","Buels Gore","CCRPC",5.22086507161656,0,0
0,"Not Suited","Buels Gore","CCRPC",0.188364272559282,0,0
0,"Marginally Suited","Huntington","CCRPC",0.00161040299765871,0,0
0,"Not Suited","Huntington","CCRPC",13.4851853226682,0,0
0,"Marginally Suited","Huntington","CCRPC",2.11400612607861,0,0
0,"Marginally Suited","Buels Gore","CCRPC",3.35509070240169,0,0
0,"Not Suited","Buels Gore","CCRPC",12.919615254748,0,0
0,"Marginally Suited","Buels Gore","CCRPC",2.40109372322182,0,0
0,"Marginally Suited","Buels Gore","CCRPC",2.06334749222425,0,0
0,"Not Suited","Buels Gore","CCRPC",1.86262167960192,0,0
0,"Moderately Suited","Huntington","CCRPC",2.44944174277263,0,0
0,"Marginally Suited","Huntington","CCRPC",1.75103121387805,0,0
0,"Not Suited","Huntington","CCRPC",1.92470837803783,0,0
