"OBJECTID_1","Suitability","Jurisdiction","RPC","Acres","Shape_Length","Shape_Area"
0,"Moderately Suited","Elmore","LCPC",4.19267813891102,0,0
0,"Moderately Suited","Elmore","LCPC",3.85523024469091,0,0
0,"Well Suited","Elmore","LCPC",15.7595968852926,0,0
0,"Marginally Suited","Elmore","LCPC",9.77602039501373,0,0
0,"Well Suited","Elmore","LCPC",2.89949553055363,0,0
0,"Well Suited","Elmore","LCPC",20.7972060849915,0,0
0,"Not Suited","Elmore","LCPC",122.474649842663,0,0
0,"Moderately Suited","Elmore","LCPC",2.61277650830298,0,0
0,"Well Suited","Elmore","LCPC",8.49419143955132,0,0
0,"Not Suited","Elmore","LCPC",3.70911704324447,0,0
0,"Moderately Suited","Elmore","LCPC",3.10134953855942,0,0
0,"Moderately Suited","Elmore","LCPC",5.25002010068765,0,0
0,"Moderately Suited","Elmore","LCPC",18.8959627307412,0,0
0,"Moderately Suited","Elmore","LCPC",9.454969773925,0,0
0,"Not Rated","Elmore","LCPC",3.69134276629873,0,0
0,"Well Suited","Elmore","LCPC",11.9716744977756,0,0
0,"Moderately Suited","Elmore","LCPC",5.24535899815085,0,0
0,"Moderately Suited","Elmore","LCPC",28.0832691449905,0,0
0,"Moderately Suited","Elmore","LCPC",14.8362295605618,0,0
0,"Moderately Suited","Elmore","LCPC",4.52380353188025,0,0
0,"Well Suited","Elmore","LCPC",5.58675974938505,0,0
0,"Moderately Suited","Elmore","LCPC",1.67502854242939,0,0
0,"Not Suited","Elmore","LCPC",4.15986895640701,0,0
0,"Moderately Suited","Elmore","LCPC",2.25937477699614,0,0
0,"Marginally Suited","Elmore","LCPC",23.7713699076824,0,0
0,"Moderately Suited","Elmore","LCPC",2.6010968129438,0,0
0,"Marginally Suited","Elmore","LCPC",52.421482613205,0,0
0,"Moderately Suited","Elmore","LCPC",8.72290712308186,0,0
0,"Moderately Suited","Elmore","LCPC",2.00561582817342,0,0
0,"Moderately Suited","Elmore","LCPC",5.54250919332161,0,0
0,"Not Rated","Elmore","LCPC",84.2396546459077,0,0
0,"Moderately Suited","Elmore","LCPC",7.28279230240953,0,0
0,"Moderately Suited","Elmore","LCPC",10.936081066755,0,0
0,"Moderately Suited","Elmore","LCPC",13.4291096330711,0,0
0,"Marginally Suited","Elmore","LCPC",10.1566131818102,0,0
0,"Not Rated","Elmore","LCPC",11.1455521826711,0,0
0,"Moderately Suited","Elmore","LCPC",1.27886779176515,0,0
0,"Moderately Suited","Elmore","LCPC",55.8158654208209,0,0
0,"Moderately Suited","Elmore","LCPC",15.0085264629488,0,0
0,"Marginally Suited","Elmore","LCPC",13.0142005766764,0,0
0,"Well Suited","Elmore","LCPC",5.6502935181699,0,0
0,"Moderately Suited","Elmore","LCPC",4.90181102892507,0,0
0,"Moderately Suited","Elmore","LCPC",23.6988941608378,0,0
0,"Marginally Suited","Elmore","LCPC",12.3722426999233,0,0
0,"Marginally Suited","Elmore","LCPC",14.8880729081384,0,0
0,"Moderately Suited","Elmore","LCPC",9.01694485829321,0,0
0,"Moderately Suited","Elmore","LCPC",3.01710645370629,0,0
0,"Moderately Suited","Elmore","LCPC",28.8482483958189,0,0
0,"Moderately Suited","Elmore","LCPC",4.91074250739209,0,0
0,"Marginally Suited","Elmore","LCPC",11.216416857964,0,0
0,"Moderately Suited","Elmore","LCPC",6.00249412776646,0,0
0,"Moderately Suited","Elmore","LCPC",5.7767420796657,0,0
0,"Moderately Suited","Elmore","LCPC",3.38741712621665,0,0
0,"Moderately Suited","Elmore","LCPC",3.6830719892243,0,0
0,"Moderately Suited","Elmore","LCPC",6.84784376929803,0,0
0,"Moderately Suited","Elmore","LCPC",4.44454827183743,0,0
0,"Marginally Suited","Elmore","LCPC",3.58272968352144,0,0
0,"Marginally Suited","Elmore","LCPC",17.1274385706486,0,0
0,"Moderately Suited","Elmore","LCPC",7.94346323281094,0,0
