System_Type,Type,Audience,Source,Status,Comment,Lengthinft,Jurisdiction,RPC,Shape_Length
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,424.117445517488761,Troy,NVDA,129.270993257058791
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",366.146679697251329,Troy,NVDA,111.601504400474070
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,21.920063364730112,Troy,NVDA,6.681235099770215
Wastewater,Sanitary Line, ,Town Plan Interpretation,Existing, ,291.121758264411881,Troy,NVDA,88.733909079507654
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing, ,29.241839448762970,Troy,NVDA,8.912912378769757
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",490.742572047456918,Troy,NVDA,149.578331173558269
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,363.227001926462322,Troy,NVDA,110.711586644414950
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,178.040588524048559,Troy,NVDA,54.266769645593371
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,440.238798377899229,Troy,NVDA,134.184781451670688
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",839.693810438387686,Troy,NVDA,255.938665231583286
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",136.305299033746707,Troy,NVDA,41.545853816018671
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,90.892045752879739,Troy,NVDA,27.703894658953114
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,867.929208916023867,Troy,NVDA,264.544814412170012
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,95.718715821569532,Troy,NVDA,29.175063648812355
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",301.941455185795576,Troy,NVDA,92.031752595614407
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,800.013187514897027,Troy,NVDA,243.844011751532236
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,251.207652191515280,Troy,NVDA,76.568089937794980
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,73.273020930950153,Troy,NVDA,22.333616065077894
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,464.436568378275638,Troy,NVDA,141.560261511770051
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,262.899814910315740,Troy,NVDA,80.131861020444688
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,89.755481576891057,Troy,NVDA,27.357469909197356
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",250.683192759436139,Troy,NVDA,76.408234708012628
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,524.635010123280949,Troy,NVDA,159.908745968496163
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,443.013098083566490,Troy,NVDA,135.030387974898645
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,284.184622502785714,Troy,NVDA,86.619470167026037
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,535.468627520295513,Troy,NVDA,163.210832445439451
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",385.148487946642092,Troy,NVDA,117.393255369552335
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,88.122206035498053,Troy,NVDA,26.859647540111084
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,641.506566129171574,Troy,NVDA,195.531195099173260
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",339.177910565932564,Troy,NVDA,103.381423832290679
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,204.754140482739359,Troy,NVDA,62.409060022049040
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,138.884803636513567,Troy,NVDA,42.332086793782558
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,192.027910829968931,Troy,NVDA,58.530105348011162
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,389.274322946980874,Troy,NVDA,118.650809837413860
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",340.120787006610669,Troy,NVDA,103.668812562212935
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,618.145435708006517,Troy,NVDA,188.410722774657245
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,116.314040735390165,Troy,NVDA,35.452518481666331
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing,8"",303.942552927162183,Troy,NVDA,92.641687167665040
Wastewater,Sanitary Line,Public,Town Plan Interpretation,Existing, ,125.002964925946785,Troy,NVDA,38.100902490199701
Wastewater,Sanitary Line,Private,Wastewater Division Plans,Existing, ,560.756665928686857,Troy,NVDA,170.918626305667715
