System_Type,Type,Source,Status,Comment,Jurisdiction,RPC
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
Wastewater,Sanitary Manhole,Town Plan Interpretation,Existing, ,Troy,NVDA
