"OBJECTID_1","Suitability","Jurisdiction","RPC","Acres","Shape_Length","Shape_Area"
0,"Marginally Suited","Fletcher","NWRPC",3.85873274083291,0,0
0,"Well Suited","Fletcher","NWRPC",18.2946911284817,0,0
0,"Marginally Suited","Fletcher","NWRPC",14.3975567499986,0,0
0,"Moderately Suited","Fairfax","NWRPC",0.781537950138302,0,0
0,"Marginally Suited","Fairfax","NWRPC",0.223155220473788,0,0
0,"Marginally Suited","Fairfax","NWRPC",3.73419081882103,0,0
0,"Moderately Suited","Fairfax","NWRPC",2.31240403746489,0,0
0,"Marginally Suited","Fairfax","NWRPC",0.029652846064983,0,0
0,"Not Suited","Fairfax","NWRPC",0.0141434516032046,0,0
0,"Moderately Suited","Fairfax","NWRPC",0.654551920374902,0,0
0,"Marginally Suited","Fairfax","NWRPC",5.1688471589849,0,0
0,"Marginally Suited","Fairfax","NWRPC",0.0498145603649628,0,0
0,"Not Rated","Fairfax","NWRPC",0.0307424839074633,0,0
0,"Marginally Suited","Fairfax","NWRPC",4.98609517654594,0,0
0,"Not Suited","Fairfax","NWRPC",4.22038494639877,0,0
0,"Marginally Suited","Fairfax","NWRPC",0.0624160834008082,0,0
0,"Not Suited","Fairfax","NWRPC",10.1449179583736,0,0
0,"Not Suited","Fairfax","NWRPC",11.186830183357,0,0
0,"Not Suited","Fairfax","NWRPC",4.70441838776465,0,0
0,"Not Suited","Fairfax","NWRPC",21.8391655010586,0,0
0,"Well Suited","Fairfax","NWRPC",4.83614846017647,0,0
0,"Moderately Suited","Fairfax","NWRPC",7.33562560330781,0,0
0,"Moderately Suited","Fairfax","NWRPC",3.10249014306938,0,0
0,"Not Suited","Fairfax","NWRPC",10.6601286786946,0,0
0,"Moderately Suited","Fairfax","NWRPC",22.498360862848,0,0
0,"Not Suited","Fairfax","NWRPC",5.91746919611573,0,0
0,"Marginally Suited","Fairfax","NWRPC",0.0764512094056728,0,0
0,"Not Suited","Fairfax","NWRPC",51.1165778234989,0,0
0,"Not Suited","Fairfax","NWRPC",8.15444589169214,0,0
0,"Not Rated","Fairfax","NWRPC",0.0862352916302505,0,0
