"OBJECTID_1","Suitability","Jurisdiction","RPC","Acres","Shape_Length","Shape_Area"
0,"Moderately Suited","Mount Holly","RRPC",32.6904549360367,0,0
0,"Marginally Suited","Mount Holly","RRPC",0.0130421525352722,0,0
0,"Moderately Suited","Mount Holly","RRPC",6.279667186521,0,0
0,"Moderately Suited","Mount Holly","RRPC",9.35326207942332,0,0
0,"Marginally Suited","Mount Holly","RRPC",24.5883526712416,0,0
0,"Moderately Suited","Mount Holly","RRPC",3.90833429061823,0,0
0,"Not Suited","Mount Holly","RRPC",287.987443015262,0,0
0,"Not Suited","Mount Holly","RRPC",130.032668554785,0,0
0,"Not Suited","Mount Holly","RRPC",4.38443910007712,0,0
0,"Moderately Suited","Mount Holly","RRPC",9.90494208440952,0,0
0,"Moderately Suited","Mount Holly","RRPC",84.1306802337058,0,0
0,"Not Suited","Mount Holly","RRPC",15.7375529583693,0,0
0,"Moderately Suited","Mount Holly","RRPC",30.3689392671419,0,0
0,"Not Suited","Mount Holly","RRPC",5.84017742790908,0,0
0,"Moderately Suited","Mount Holly","RRPC",540.698725360134,0,0
0,"Marginally Suited","Mount Holly","RRPC",10.0712568722017,0,0
0,"Marginally Suited","Mount Holly","RRPC",12.3003675685406,0,0
0,"Not Suited","Mount Holly","RRPC",421.268990556272,0,0
0,"Not Suited","Mount Holly","RRPC",212.069041177938,0,0
0,"Marginally Suited","Mount Holly","RRPC",190.949533304732,0,0
0,"Moderately Suited","Mount Holly","RRPC",432.333551133226,0,0
0,"Marginally Suited","Mount Holly","RRPC",6.16192707875928,0,0
0,"Moderately Suited","Mount Holly","RRPC",8.54588912261147,0,0
0,"Moderately Suited","Mount Holly","RRPC",8.66834428176505,0,0
0,"Moderately Suited","Mount Holly","RRPC",3.7902190584703,0,0
0,"Not Suited","Mount Holly","RRPC",2.49120561091929,0,0
0,"Moderately Suited","Mount Holly","RRPC",3.84799276985171,0,0
0,"Moderately Suited","Mount Holly","RRPC",2.05996418739256,0,0
0,"Marginally Suited","Mount Holly","RRPC",1.30514670440873,0,0
0,"Moderately Suited","Mount Holly","RRPC",3.16624935740878,0,0
0,"Moderately Suited","Mount Holly","RRPC",21.3314822172865,0,0
0,"Marginally Suited","Mount Holly","RRPC",8.77064036211143,0,0
0,"Moderately Suited","Mount Holly","RRPC",79.2702767641253,0,0
0,"Marginally Suited","Mount Holly","RRPC",236.419392717271,0,0
0,"Moderately Suited","Mount Holly","RRPC",7.6582586894364,0,0
0,"Marginally Suited","Mount Holly","RRPC",17.3582987397774,0,0
0,"Moderately Suited","Mount Holly","RRPC",157.699708248331,0,0
0,"Marginally Suited","Mount Holly","RRPC",4.52212546036609,0,0
0,"Moderately Suited","Mount Holly","RRPC",61.643278924419,0,0
0,"Moderately Suited","Mount Holly","RRPC",60.4749442070873,0,0
0,"Not Rated","Mount Holly","RRPC",17.3329237440521,0,0
0,"Well Suited","Mount Holly","RRPC",3.90846089344434,0,0
0,"Marginally Suited","Mount Holly","RRPC",15.930777677411,0,0
0,"Marginally Suited","Mount Holly","RRPC",9.89410755262622,0,0
0,"Marginally Suited","Mount Holly","RRPC",4.84369619251103,0,0
0,"Moderately Suited","Mount Holly","RRPC",2.56200711283167,0,0
0,"Marginally Suited","Mount Holly","RRPC",3.38699635049178,0,0
0,"Moderately Suited","Mount Holly","RRPC",1.8697789786389,0,0
0,"Marginally Suited","Mount Holly","RRPC",3.75456755263922,0,0
0,"Marginally Suited","Mount Holly","RRPC",15.6847998778455,0,0
0,"Marginally Suited","Mount Holly","RRPC",10.9248754739856,0,0
0,"Marginally Suited","Mount Holly","RRPC",4.15859990437171,0,0
0,"Not Suited","Mount Holly","RRPC",3.58109846872253,0,0
0,"Not Suited","Mount Holly","RRPC",1.47822832889213,0,0
0,"Moderately Suited","Mount Holly","RRPC",38.7797531452305,0,0
0,"Not Suited","Mount Holly","RRPC",3.2741079016134,0,0
0,"Marginally Suited","Mount Holly","RRPC",163.521883544743,0,0
0,"Not Suited","Mount Holly","RRPC",9.61196492115249,0,0
0,"Moderately Suited","Mount Holly","RRPC",10.3793928849267,0,0
0,"Not Suited","Mount Holly","RRPC",9.13482481857806,0,0
0,"Moderately Suited","Mount Holly","RRPC",10.4494971139537,0,0
0,"Marginally Suited","Mount Holly","RRPC",24.0545812504046,0,0
0,"Moderately Suited","Mount Holly","RRPC",1.80864578791946,0,0
0,"Moderately Suited","Mount Holly","RRPC",57.1615422122565,0,0
0,"Not Suited","Mount Holly","RRPC",3.10284907825657,0,0
0,"Marginally Suited","Mount Holly","RRPC",2.80269173280331,0,0
0,"Moderately Suited","Mount Holly","RRPC",28.464008964269,0,0
0,"Moderately Suited","Mount Holly","RRPC",29.269840275624,0,0
0,"Moderately Suited","Mount Holly","RRPC",93.5749127482616,0,0
0,"Marginally Suited","Mount Holly","RRPC",22.5362305541865,0,0
0,"Moderately Suited","Mount Holly","RRPC",16.4402209200917,0,0
0,"Moderately Suited","Mount Holly","RRPC",15.8187580213891,0,0
0,"Moderately Suited","Mount Holly","RRPC",6.57227271466202,0,0
0,"Not Suited","Mount Holly","RRPC",4.44148307628482,0,0
0,"Marginally Suited","Mount Holly","RRPC",115.807521917705,0,0
0,"Moderately Suited","Mount Holly","RRPC",3.70921198574403,0,0
0,"Not Suited","Mount Holly","RRPC",3.45955768515422,0,0
0,"Not Suited","Mount Holly","RRPC",1.02722192286475,0,0
0,"Marginally Suited","Mount Holly","RRPC",5.9365804275157,0,0
0,"Moderately Suited","Mount Holly","RRPC",149.053640415933,0,0
0,"Not Suited","Mount Holly","RRPC",2.38085709975029,0,0
0,"Moderately Suited","Mount Holly","RRPC",4.8334325194132,0,0
0,"Marginally Suited","Mount Holly","RRPC",2.36101151713262,0,0
0,"Not Suited","Mount Holly","RRPC",5.49848617215064,0,0
0,"Well Suited","Mount Holly","RRPC",5.73722114100633,0,0
0,"Moderately Suited","Mount Holly","RRPC",6.1149018107976,0,0
0,"Moderately Suited","Mount Holly","RRPC",7.60684716449849,0,0
0,"Moderately Suited","Mount Holly","RRPC",3.60888722872386,0,0
0,"Not Suited","Mount Holly","RRPC",5.23601944662009,0,0
0,"Moderately Suited","Mount Holly","RRPC",23.4308919515274,0,0
0,"Moderately Suited","Mount Holly","RRPC",31.0569880362199,0,0
0,"Well Suited","Mount Holly","RRPC",8.63327199477757,0,0
0,"Not Suited","Mount Holly","RRPC",4.11882739912414,0,0
0,"Not Rated","Mount Holly","RRPC",1.27045651837809,0,0
0,"Moderately Suited","Mount Holly","RRPC",66.2121297080514,0,0
0,"Moderately Suited","Mount Holly","RRPC",12.8657065721322,0,0
0,"Not Suited","Mount Holly","RRPC",1.31804058056858,0,0
0,"Not Suited","Mount Holly","RRPC",2.99612114616666,0,0
0,"Moderately Suited","Mount Holly","RRPC",14.7271654231144,0,0
0,"Moderately Suited","Mount Holly","RRPC",5.83219699262101,0,0
0,"Not Rated","Mount Holly","RRPC",21.6565289240042,0,0
0,"Not Suited","Mount Holly","RRPC",4.44385787319002,0,0
0,"Marginally Suited","Mount Holly","RRPC",295.848991146754,0,0
0,"Moderately Suited","Mount Holly","RRPC",16.8406970822787,0,0
0,"Not Suited","Mount Holly","RRPC",67.161574160529,0,0
0,"Moderately Suited","Mount Holly","RRPC",19.1531652430835,0,0
0,"Not Rated","Mount Holly","RRPC",1.76307829852582,0,0
0,"Not Suited","Mount Holly","RRPC",4.70599842756868,0,0
0,"Not Suited","Mount Holly","RRPC",2.08823695143184,0,0
0,"Moderately Suited","Mount Holly","RRPC",58.4283304956044,0,0
0,"Moderately Suited","Mount Holly","RRPC",148.70582176788,0,0
0,"Moderately Suited","Mount Holly","RRPC",4.77555507556313,0,0
0,"Moderately Suited","Mount Holly","RRPC",48.5414912614757,0,0
0,"Not Suited","Mount Holly","RRPC",21.1613934633202,0,0
0,"Moderately Suited","Mount Holly","RRPC",30.3792235991323,0,0
