"OBJECTID_1","Suitability","Jurisdiction","RPC","Acres","Shape_Length","Shape_Area"
0,"Moderately Suited","Hartland","TRORC",30.3760964098697,0,0
0,"Not Rated","Hartland","TRORC",37.0059931890604,0,0
0,"Well Suited","Hartland","TRORC",7.76243950199297,0,0
0,"Well Suited","Hartland","TRORC",14.614311476654,0,0
0,"Moderately Suited","Hartland","TRORC",11.7453142506417,0,0
0,"Well Suited","Hartland","TRORC",45.8316051443438,0,0
0,"Not Rated","Hartland","TRORC",120.742270463413,0,0
0,"Marginally Suited","Hartland","TRORC",5.81023100735476,0,0
0,"Marginally Suited","Hartland","TRORC",2.49693134083592,0,0
0,"Marginally Suited","Hartland","TRORC",39.1799979338057,0,0
0,"Marginally Suited","Hartland","TRORC",15.7084179954673,0,0
0,"Not Suited","Hartland","TRORC",12.6047023144099,0,0
0,"Marginally Suited","Hartland","TRORC",1.28917664189788,0,0
0,"Moderately Suited","Hartland","TRORC",5.12518220130878,0,0
0,"Not Suited","Hartland","TRORC",20.4634084997027,0,0
0,"Well Suited","Hartland","TRORC",20.5314848815214,0,0
0,"Marginally Suited","Hartland","TRORC",21.9130868017752,0,0
0,"Not Suited","Hartland","TRORC",21.1743987355023,0,0
0,"Marginally Suited","Hartland","TRORC",9.31993440175859,0,0
0,"Not Suited","Hartland","TRORC",5.04481775637871,0,0
0,"Moderately Suited","Hartland","TRORC",22.2067059596834,0,0
0,"Moderately Suited","Hartland","TRORC",29.3036045826907,0,0
0,"Moderately Suited","Hartland","TRORC",11.9625320467385,0,0
0,"Not Suited","Hartland","TRORC",11.3484217523621,0,0
0,"Moderately Suited","Hartland","TRORC",14.8451100978132,0,0
0,"Not Suited","Hartland","TRORC",4.63802194090559,0,0
0,"Marginally Suited","Hartland","TRORC",31.6692863909207,0,0
0,"Marginally Suited","Hartland","TRORC",8.06125500598428,0,0
0,"Marginally Suited","Hartland","TRORC",14.8616298236891,0,0
0,"Marginally Suited","Hartland","TRORC",5.57435110875601,0,0
0,"Marginally Suited","Hartland","TRORC",3.19846712602957,0,0
0,"Moderately Suited","Hartland","TRORC",220.779280842815,0,0
0,"Marginally Suited","Hartland","TRORC",13.5250928741193,0,0
0,"Moderately Suited","Hartland","TRORC",5.73828702082959,0,0
0,"Marginally Suited","Hartland","TRORC",8.59603039926152,0,0
0,"Not Suited","Hartland","TRORC",20.0602258426949,0,0
0,"Marginally Suited","Hartland","TRORC",18.8426482082786,0,0
0,"Not Suited","Hartland","TRORC",34.1764405868345,0,0
0,"Moderately Suited","Hartland","TRORC",25.7631416464608,0,0
0,"Not Suited","Hartland","TRORC",4.6826987499712,0,0
0,"Marginally Suited","Hartland","TRORC",81.1438125618747,0,0
0,"Not Suited","Hartland","TRORC",14.552581807683,0,0
0,"Marginally Suited","Hartland","TRORC",27.2097589229474,0,0
0,"Moderately Suited","Hartland","TRORC",10.2040252644762,0,0
0,"Marginally Suited","Hartland","TRORC",17.6566671866651,0,0
0,"Moderately Suited","Hartland","TRORC",10.1580756590056,0,0
0,"Not Suited","Hartland","TRORC",55.5180928797988,0,0
0,"Marginally Suited","Hartland","TRORC",4.69876031900193,0,0
0,"Well Suited","Hartland","TRORC",9.55212793176798,0,0
0,"Moderately Suited","Hartland","TRORC",17.7256159970274,0,0
0,"Marginally Suited","Hartland","TRORC",5.10673613032598,0,0
0,"Marginally Suited","Hartland","TRORC",14.062104335722,0,0
0,"Moderately Suited","Hartland","TRORC",12.4388662456271,0,0
0,"Not Suited","Hartland","TRORC",3.22585535383629,0,0
0,"Well Suited","Hartland","TRORC",9.31320785869273,0,0
0,"Moderately Suited","Hartland","TRORC",22.4480766098808,0,0
0,"Moderately Suited","Hartland","TRORC",17.0194397503034,0,0
0,"Moderately Suited","Hartland","TRORC",65.7344614013984,0,0
0,"Well Suited","Hartland","TRORC",22.8382588808643,0,0
0,"Not Suited","Hartland","TRORC",8.47651821905515,0,0
0,"Well Suited","Hartland","TRORC",11.8190001776947,0,0
0,"Well Suited","Hartland","TRORC",11.6496045702318,0,0
0,"Not Suited","Hartland","TRORC",169.638287304117,0,0
0,"Moderately Suited","Hartland","TRORC",53.6006192860541,0,0
0,"Moderately Suited","Hartland","TRORC",9.64199503972654,0,0
0,"Marginally Suited","Hartland","TRORC",45.6466357880371,0,0
0,"Not Suited","Hartland","TRORC",5.80295388386388,0,0
0,"Marginally Suited","Hartland","TRORC",16.6694830245308,0,0
0,"Marginally Suited","Hartland","TRORC",9.06364663988233,0,0
0,"Moderately Suited","Hartland","TRORC",6.86233544551169,0,0
0,"Marginally Suited","Hartland","TRORC",18.3021759315053,0,0
0,"Moderately Suited","Hartland","TRORC",13.0340257877922,0,0
0,"Moderately Suited","Hartland","TRORC",26.3965880913767,0,0
0,"Moderately Suited","Hartland","TRORC",6.64902441117476,0,0
0,"Moderately Suited","Hartland","TRORC",9.75006328414724,0,0
0,"Marginally Suited","Hartland","TRORC",6.49438412119759,0,0
0,"Not Suited","Hartland","TRORC",6.11515710328183,0,0
0,"Not Suited","Hartland","TRORC",8.83287901278917,0,0
0,"Moderately Suited","Hartland","TRORC",29.1822898250004,0,0
0,"Marginally Suited","Hartland","TRORC",19.3868278906742,0,0
0,"Marginally Suited","Hartland","TRORC",69.7763009480335,0,0
0,"Not Suited","Hartland","TRORC",36.216196852524,0,0
0,"Not Suited","Hartland","TRORC",27.6185029177548,0,0
0,"Moderately Suited","Hartland","TRORC",8.55287289696111,0,0
0,"Well Suited","Hartland","TRORC",30.2751814542246,0,0
0,"Well Suited","Hartland","TRORC",12.9746725055301,0,0
0,"Well Suited","Hartland","TRORC",5.4728833821261,0,0
0,"Marginally Suited","Hartland","TRORC",12.2373501325288,0,0
0,"Moderately Suited","Hartland","TRORC",9.95451344911569,0,0
0,"Moderately Suited","Hartland","TRORC",122.112034987359,0,0
0,"Well Suited","Hartland","TRORC",8.20924696074105,0,0
0,"Not Suited","Hartland","TRORC",8.69157645880271,0,0
0,"Marginally Suited","Hartland","TRORC",37.2205365897872,0,0
0,"Marginally Suited","Hartland","TRORC",33.8003864847034,0,0
0,"Moderately Suited","Hartland","TRORC",10.7523090919349,0,0
0,"Moderately Suited","Hartland","TRORC",3.83434274629155,0,0
0,"Moderately Suited","Hartland","TRORC",33.9898446677164,0,0
0,"Well Suited","Hartland","TRORC",6.8241784159137,0,0
0,"Moderately Suited","Hartland","TRORC",12.1095107384882,0,0
0,"Moderately Suited","Hartland","TRORC",10.7466647044008,0,0
0,"Moderately Suited","Hartland","TRORC",34.6822437706984,0,0
0,"Marginally Suited","Hartland","TRORC",24.3001151097177,0,0
0,"Not Suited","Hartland","TRORC",43.5754933507326,0,0
0,"Well Suited","Hartland","TRORC",3.52015460496092,0,0
0,"Well Suited","Hartland","TRORC",25.3996033058626,0,0
0,"Well Suited","Hartland","TRORC",4.23953153951139,0,0
0,"Marginally Suited","Hartland","TRORC",29.8567009663232,0,0
0,"Not Suited","Hartland","TRORC",2.4908613757979,0,0
0,"Moderately Suited","Hartland","TRORC",2.1871834912634,0,0
0,"Moderately Suited","Hartland","TRORC",68.0755097580687,0,0
0,"Marginally Suited","Hartland","TRORC",14.558292142497,0,0
0,"Not Suited","Hartland","TRORC",10.9291801397197,0,0
0,"Well Suited","Hartland","TRORC",8.48456945856427,0,0
0,"Well Suited","Hartland","TRORC",7.80767442156635,0,0
0,"Moderately Suited","Hartland","TRORC",10.7082027990901,0,0
0,"Marginally Suited","Hartland","TRORC",41.7359948560027,0,0
0,"Well Suited","Hartland","TRORC",3.63005795432561,0,0
0,"Not Suited","Hartland","TRORC",8.36520015581772,0,0
0,"Well Suited","Hartland","TRORC",2.73181546198447,0,0
0,"Well Suited","Hartland","TRORC",9.28830017445964,0,0
0,"Not Suited","Hartland","TRORC",4.10786561621875,0,0
0,"Well Suited","Hartland","TRORC",6.77387381393874,0,0
0,"Moderately Suited","Hartland","TRORC",6.17947563469109,0,0
0,"Moderately Suited","Hartland","TRORC",3.16489978537214,0,0
0,"Marginally Suited","Hartland","TRORC",8.02968062393274,0,0
0,"Marginally Suited","Hartland","TRORC",29.8734350172291,0,0
0,"Moderately Suited","Hartland","TRORC",13.5371876214922,0,0
0,"Moderately Suited","Hartland","TRORC",6.94550096340544,0,0
0,"Not Suited","Hartland","TRORC",7.54719590986907,0,0
0,"Marginally Suited","Hartland","TRORC",7.39467455766565,0,0
0,"Moderately Suited","Hartland","TRORC",27.8870465214767,0,0
0,"Not Suited","Hartland","TRORC",12.9687970392302,0,0
0,"Well Suited","Hartland","TRORC",3.23862845461207,0,0
0,"Moderately Suited","Hartland","TRORC",9.49313270832373,0,0
0,"Well Suited","Hartland","TRORC",21.7854964089355,0,0
0,"Marginally Suited","Hartland","TRORC",11.2948704740432,0,0
0,"Marginally Suited","Hartland","TRORC",13.5421053438445,0,0
0,"Marginally Suited","Hartland","TRORC",9.81626059667637,0,0
0,"Well Suited","Hartland","TRORC",2.69910860070094,0,0
0,"Not Suited","Hartland","TRORC",6.4029284296429,0,0
0,"Marginally Suited","Hartland","TRORC",10.6296242953278,0,0
0,"Marginally Suited","Hartland","TRORC",18.0817435927515,0,0
0,"Not Suited","Hartland","TRORC",5.74644509135997,0,0
