Shape_Length,System_Type,Type,Audience,Source,Status,Comment,Lengthinfeet,Jurisdiction,RPC
4.060861352292194,Sewer pipe,Wastewater,Public,From RPC,Existing,,13.319625235518394,Readsboro,WRC
6.588361348208874,Sewer pipe,Wastewater,Public,From RPC,Existing,,21.609825222125107,Readsboro,WRC
26.209027317534506,Sewer pipe,Wastewater,Public,From RPC,Existing,,85.965609601513179,Readsboro,WRC
34.417536142034706,Sewer pipe,Wastewater,Public,From RPC,Existing,,112.889518545873827,Readsboro,WRC
60.063787373830216,Sewer pipe,Wastewater,Public,From RPC,Existing,,197.009222586163105,Readsboro,WRC
30.480342661520961,Sewer pipe,Wastewater,Public,From RPC,Existing,,99.975523929788750,Readsboro,WRC
68.809258535775371,Sewer pipe,Wastewater,Public,From RPC,Existing,,225.694367997343193,Readsboro,WRC
96.379519440042174,Sewer pipe,Wastewater,Public,From RPC,Existing,,316.124823763338327,Readsboro,WRC
5.550563751458775,Sewer pipe,Wastewater,Public,From RPC,Existing,,18.205849104784779,Readsboro,WRC
51.495032181603897,Sewer pipe,Wastewater,Public,From RPC,Existing,,168.903705555660764,Readsboro,WRC
42.955693818222962,Sewer pipe,Wastewater,Public,From RPC,Existing,,140.894675723771314,Readsboro,WRC
5.062984421474344,Sewer pipe,Wastewater,Public,From RPC,Existing,,16.606588902435849,Readsboro,WRC
75.858814578518960,Sewer pipe,Wastewater,Public,From RPC,Existing,,248.816911817542177,Readsboro,WRC
70.135120523960055,Sewer pipe,Wastewater,Public,From RPC,Existing,,230.043195318588971,Readsboro,WRC
22.325994412328892,Sewer pipe,Wastewater,Public,From RPC,Existing,,73.229261672438767,Readsboro,WRC
13.716166087232219,Sewer pipe,Wastewater,Public,From RPC,Existing,,44.989024766121673,Readsboro,WRC
246.850770956979289,Sewer pipe,Wastewater,Public,From RPC,Existing,,809.670528738892017,Readsboro,WRC
14.821191344353341,Sewer pipe,Wastewater,Public,From RPC,Existing,,48.613507609478958,Readsboro,WRC
68.275790885582339,Sewer pipe,Wastewater,Public,From RPC,Existing,,223.944594104710063,Readsboro,WRC
34.065781878108012,Sewer pipe,Wastewater,Public,From RPC,Existing,,111.735764560194269,Readsboro,WRC
17.163606731296372,Sewer pipe,Wastewater,Public,From RPC,Existing,,56.296630078652100,Readsboro,WRC
69.299140204181114,Sewer pipe,Wastewater,Public,From RPC,Existing,,227.301179869714048,Readsboro,WRC
54.912424098130401,Sewer pipe,Wastewater,Public,From RPC,Existing,,180.112751041867710,Readsboro,WRC
21.416306998603876,Sewer pipe,Wastewater,Public,From RPC,Existing,,70.245486955420702,Readsboro,WRC
175.656180508476751,Sewer pipe,Wastewater,Public,From RPC,Existing,,576.152272067803665,Readsboro,WRC
31.332460861605867,Combined sewer pipe,Combined,Public, ,Abandoned,,102.770471626067234,Readsboro,WRC
80.081191425856261,Sewer pipe,Wastewater,Public,From RPC,Existing,,262.666307876808503,Readsboro,WRC
32.612823744034323,Sewer pipe,Wastewater,Public,From RPC,Existing,,106.970061880432567,Readsboro,WRC
25.294827852424241,Sewer pipe,Wastewater,Public,From RPC,Existing,,82.967035355951509,Readsboro,WRC
54.741459643020477,Sewer pipe,Wastewater,Public,From RPC,Existing,,179.551987629107145,Readsboro,WRC
15.240147278290141,Sewer pipe,Wastewater,Public,From RPC,Existing,,49.987683072791661,Readsboro,WRC
4.819823005749631,Sewer pipe,Wastewater,Public,From RPC,Existing,,15.809019458858790,Readsboro,WRC
39.630840880226870,Sewer pipe,Wastewater,Public,From RPC,Existing,,129.989158087144119,Readsboro,WRC
716.953867708306575,Sewer pipe,Wastewater,Public,From RPC,Existing,,2351.608686083245630,Readsboro,WRC
26.638278991770363,Sewer pipe,Wastewater,Public,From RPC,Existing,,87.373555093006786,Readsboro,WRC
34.632113646832359,Sewer pipe,Wastewater,Public,From RPC,Existing,,113.593332761610128,Readsboro,WRC
74.096349098606197,Sewer pipe,Wastewater,Public,From RPC,Existing,,243.036025043428310,Readsboro,WRC
52.744795608752312,Sewer pipe,Wastewater,Public,From RPC,Existing,,173.002929596707588,Readsboro,WRC
92.859949129799176,Sewer pipe,Wastewater,Public,From RPC,Existing,,304.580633145741274,Readsboro,WRC
96.656630017991745,Sewer pipe,Wastewater,Public,From RPC,Existing,,317.033746459012889,Readsboro,WRC
11.212460626770667,Sewer pipe,Wastewater,Public,From RPC,Existing,,36.776870855807786,Readsboro,WRC
9.893612626090929,Sewer pipe,Wastewater,Public,From RPC,Existing,,32.451049413578247,Readsboro,WRC
