System_Type,Type,Source,Comment,Status,Jurisdiction,RPC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
Wastewater,Sanitary Manhole,Contractor GIS/GPS,From Brattleboro,Existing,Brattleboro,WRC
