COUNTY,RPC,JXTN,JXTN_DIST_NAME,DIST_NAME,ABB_DIST_NAME,DIST_MAP,OVER_,EXT_DIST,DIST_TYPE,AFF_DIST,ELD_DIST,F1FDP,F2FDP,F3FDP,F4FDP,F5FDP,ADUDP,AFFDP,PRDDP,BASE_DENS,NOTES,F1F_MIN_LOT,F1F_FSET,F1F_SSET,F1F_RSET,F1F_FRONT,F1F_MAX_LOT_BLDG,F1F_MAX_LOT_IMP,F1F_PARK,F1F_STORIES,F1F_HEIGHT,F1F_FTA,F1F_MIN_UNIT,F1F_MIN_LOT_COND_ALT,F1F_FSET_COND_ALT,F1F_SSET_COND_ALT,F1F_RSET_COND_ALT,F1F_FRONT_COND_ALT,F1F_MAX_LOT_BLDG_COND_ALT,F1F_MAX_LOT_IMP_COND_ALT,F1F_PARK_COND_ALT,F1F_STORIES_COND_ALT,F1F_HEIGHT_COND_ALT,F1F_FTA_COND_ALT,F1F_MIN_UNIT_COND_ALT,F2F_AFF,F2F_ELD,F2F_MIN_LOT,F2F_MAX_DENS,F2F_FSET,F2F_SSET,F2F_RSET,F2F_FRONT,F2F_MAX_LOT_BLDG,F2F_MAX_LOT_IMP,F2F_PARK_1BR,F2F_PARK_2BR,F2F_STORIES,F2F_HEIGHT,F2F_FTA,F2F_MIN_UNIT,F2F_AFF_COND_ALT,F2F_ELD_COND_ALT,F2F_MIN_LOT_COND_ALT,F2F_MAX_DENS_COND_ALT,F2F_FSET_COND_ALT,F2F_SSET_COND_ALT,F2F_RSET_COND_ALT,F2F_FRONT_COND_ALT,F2F_MAX_LOT_BLDG_COND_ALT,F2F_MAX_LOT_IMP_COND_ALT,F2F_PARK_1BR_COND_ALT,F2F_PARK_2BR_COND_ALT,F2F_STORIES_COND_ALT,F2F_HEIGHT_COND_ALT,F2F_FTA_COND_ALT,F2F_MIN_UNIT_COND_ALT,F3F_AFF,F3F_ELD,F3F_MIN_LOT,F3F_MAX_DENS,F3F_FSET,F3F_SSET,F3F_RSET,F3F_FRONT,F3F_MAX_LOT_BLDG,F3F_MAX_LOT_IMP,F3F_PARK_1BR,F3F_PARK_2BR,F3F_CNXN_H2O,F3F_CNXN_TRANSIT,F3F_STORIES,F3F_HEIGHT,F3F_FTA,F3F_MIN_UNIT,F3F_BEDROOMS,F3F_AFF_COND_ALT,F3F_ELD_COND_ALT,F3F_MIN_LOT_COND_ALT,F3F_MAX_DENS_COND_ALT,F3F_FSET_COND_ALT,F3F_SSET_COND_ALT,F3F_RSET_COND_ALT,F3F_FRONT_COND_ALT,F3F_MAX_LOT_BLDG_COND_ALT,F3F_MAX_LOT_IMP_COND_ALT,F3F_PARK_1BR_COND_ALT,F3F_PARK_2BR_COND_ALT,F3F_CNXN_H2O_COND_ALT,F3F_CNXN_TRANSIT_COND_ALT,F3F_STORIES_COND_ALT,F3F_HEIGHT_COND_ALT,F3F_FTA_COND_ALT,F3F_MIN_UNIT_COND_ALT,F3F_BEDROOMS_COND_ALT,F4F_AFF,F4F_ELD,F4F_MIN_LOT,F4F_MAX_DENS,F4F_FSET,F4F_SSET,F4F_RSET,F4F_FRONT,F4F_MAX_LOT_BLDG,F4F_MAX_LOT_IMP,F4F_PARK_1BR,F4F_PARK_2BR,F4F_CNXN_H2O,F4F_CNXN_TRANSIT,F4F_STORIES,F4F_HEIGHT,F4F_FTA,F4F_MIN_UNIT,F4F_BEDROOMS,F4F_MAX_UNIT,F4F_AFF_COND_ALT,F4F_ELD_COND_ALT,F4F_MIN_LOT_COND_ALT,F4F_MAX_DENS_COND_ALT,F4F_FSET_COND_ALT,F4F_SSET_COND_ALT,F4F_RSET_COND_ALT,F4F_FRONT_COND_ALT,F4F_MAX_LOT_BLDG_COND_ALT,F4F_MAX_LOT_IMP_COND_ALT,F4F_PARK_1BR_COND_ALT,F4F_PARK_2BR_COND_ALT,F4F_CNXN_H2O_COND_ALT,F4F_CNXN_TRANSIT_COND_ALT,F4F_STORIES_COND_ALT,F4F_HEIGHT_COND_ALT,F4F_FTA_COND_ALT,F4F_MIN_UNIT_COND_ALT,F4F_BEDROOMS_COND_ALT,F4F_MAX_UNIT_COND_ALT,F5F_AFF,F5F_ELD,F5F_MIN_LOT,F5F_MAX_DENS,F5F_FSET,F5F_SSET,F5F_RSET,F5F_FRONT,F5F_MAX_LOT_BLDG,F5F_MAX_LOT_IMP,F5F_PARK_1BR,F5F_PARK_2BR,F5F_CNXN_H2O,F5F_CNXN_TRANSIT,F5F_STORIES,F5F_FEET,F5F_FTA,F5F_MIN_UNIT,F5F_BEDROOMS,F5F_MAX_UNIT,F5F_AFF_COND_ALT,F5F_ELD_COND_ALT,F5F_MIN_LOT_COND_ALT,F5F_MAX_DENS_COND_ALT,F5F_FSET_COND_ALT,F5F_SSET_COND_ALT,F5F_RSET_COND_ALT,F5F_FRONT_COND_ALT,F5F_MAX_LOT_BLDG_COND_ALT,F5F_MAX_LOT_IMP_COND_ALT,F5F_PARK_1BR_COND_ALT,F5F_PARK_2BR_COND_ALT,F5F_CNXN_H2O_COND_ALT,F5F_CNXN_TRANSIT_COND_ALT,F5F_STORIES_COND_ALT,F5F_FEET_COND_ALT,F5F_FTA_COND_ALT,F5F_MIN_UNIT_COND_ALT,F5F_BEDROOMS_COND_ALT,F5F_MAX_UNIT_COND_ALT,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MAX_DENS,AFF_PARK_1BR,AFF_PARK_2BR,AFF_MIN_UNIT,AFF_BEDROOMS,AFF_MAX_UNIT,AFF_DEF_COND_ALT,AFF_ELD_ONLY_COND_ALT,AFF_MIN_LOT_COND_ALT,AFF_MAX_DENS_COND_ALT,AFF_PARK_1BR_COND_ALT,AFF_PARK_2BR_COND_ALT,AFF_MIN_UNIT_COND_ALT,AFF_BEDROOMS_COND_ALT,AFF_MAX_UNIT_COND_ALT,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_PARK,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_SIZE,ADU_BEDROOMS,ADU_EMP_REQD_COND_ALT,ADU_RENTER_PROH_COND_ALT,ADU_OWNER_REQD_COND_ALT,ADU_ELD_COND_ALT,ADU_MIN_LOT_COND_ALT,ADU_PARK_COND_ALT,ADU_PRIM_STRUC_COND_ALT,ADU_MAX_PCT_COND_ALT,ADU_MAX_SIZE_COND_ALT,ADU_BEDROOMS_COND_ALT,PRD_MHP,PRD_MIN_LOT,PRD_MAX_DENS,PRD_MAX_UNIT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,PRD_MHP_COND_ALT,PRD_MIN_LOT_COND_ALT,PRD_MAX_DENS_COND_ALT,PRD_MAX_UNIT_COND_ALT,PUD_SUBDV_COND_ALT,PUD_THRESH_COND_ALT,PUD_ALLOW_COND_ALT,PUD_CONSERVE_COND_ALT,BYLAW_EFF,Version,Acres,Shape_Length,Shape_Area
Addison,ACRPC,Ferrisburgh ,Ferrisburgh Conservation District,Conservation District,Con-25,Yes,No,,Mixed with Residential,No,No,Permitted,Prohibited,Prohibited,Prohibited,,Allowed/Conditional,Not Mentioned,Not Mentioned,0.040000000000000,None,25.000000000000000,80.000000000000000,25.000000000000000,25.000000000000000,500.000000000000000,,5.000000000000000,2.000000000000000,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,,No,30.000000000000000,1000.000000000000000,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,2023-08-07,1,4954.717830214714922,256663.127174321940402,20051062.626068733632565
Addison,ACRPC,Ferrisburgh ,Ferrisburgh Ferrisburgh Town Center District,Ferrisburgh Town Center District,Ftc,Yes,No,,Primarily Residential,No,No,Permitted,Permitted,Permitted,Permitted,,Allowed/Conditional,Not Mentioned,Not Mentioned,1.000000000000000,None,1.000000000000000,,,,200.000000000000000,,40.000000000000000,2.000000000000000,,35.000000000000000,,,,100 Ft From Route 7 Or 25 Ft From Other Roads,25 Ft Or 5 Ft From Accessory Structure,15 Ft Or 10 Ft From Accessory Structure,,,,,,,,,No,No,1.000000000000000,1.000000000000000,,,,200.000000000000000,,40.000000000000000,2.000000000000000,2.000000000000000,,35.000000000000000,,,,,,,100 Ft From Route 7 Or 25 Ft From Other Roads,25 Ft Or 5 Ft From Accessory Structure,15 Ft Or 10 Ft From Accessory Structure,,,,,,,,,,No,No,1.000000000000000,1.000000000000000,,,,200.000000000000000,,40.000000000000000,4.000000000000000,4.000000000000000,No,No,,35.000000000000000,,,,,,,,100 Ft From Route 7 Or 25 Ft From Other Roads,25 Ft Or 5 Ft From Accessory Structure,15 Ft Or 10 Ft From Accessory Structure,,,,,,,,,,,,,No,No,1.000000000000000,1.000000000000000,,,,200.000000000000000,,40.000000000000000,4.000000000000000,4.000000000000000,No,No,,35.000000000000000,,,,,,,,,100 Ft From Route 7 Or 25 Ft From Other Roads,25 Ft Or 5 Ft From Accessory Structure,15 Ft Or 10 Ft From Accessory Structure,,,,,,,,,,,,,,F,F,1.000000000000000,1,100.000000000000000,25.000000000000000,15.000000000000000,200.000000000000000,,40.000000000000000,4.000000000000000,4.000000000000000,F,F,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,,No,30.000000000000000,1000.000000000000000,,,,,,,,,,,,No,,,,,,Yes,,,,,,,,,,2023-08-07,1,114.657988279338582,7647.455561647318973,464005.132552310067695
Addison,ACRPC,Ferrisburgh ,Ferrisburgh Highway Mixed-Use District,Highway Mixed-Use District,Hmu-2,Yes,No,,Mixed with Residential,No,No,Permitted,Permitted,Permitted,Public Hearing,,Allowed/Conditional,Not Mentioned,Not Mentioned,1.000000000000000,None,2.000000000000000,300.000000000000000,25.000000000000000,50.000000000000000,200.000000000000000,,40.000000000000000,2.000000000000000,,35.000000000000000,,,,,,,,,,,,,,,No,No,2.000000000000000,1.000000000000000,300.000000000000000,25.000000000000000,50.000000000000000,200.000000000000000,,40.000000000000000,2.000000000000000,2.000000000000000,,35.000000000000000,,,,,,,,,,,,,,,,,,,No,No,3.000000000000000,1.000000000000000,300.000000000000000,25.000000000000000,50.000000000000000,200.000000000000000,,40.000000000000000,4.000000000000000,4.000000000000000,No,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,No,No,4.000000000000000,1.000000000000000,300.000000000000000,25.000000000000000,50.000000000000000,200.000000000000000,,40.000000000000000,4.000000000000000,4.000000000000000,No,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,F,F,5.000000000000000,5,300.000000000000000,25.000000000000000,50.000000000000000,200.000000000000000,,40.000000000000000,4.000000000000000,4.000000000000000,F,F,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,,No,30.000000000000000,1000.000000000000000,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,2023-08-07,1,334.446385439620940,16574.068517465188052,1353458.592256817733869
Addison,ACRPC,Ferrisburgh ,Ferrisburgh Industrial District,Industrial District,Ind-2,Yes,No,,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Allowed/Conditional,Not Mentioned,Not Mentioned,0.500000000000000,None,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,,No,30.000000000000000,1000.000000000000000,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,2023-08-07,1,188.124796872491231,9215.028006705606458,761315.217711058910936
Addison,ACRPC,Ferrisburgh ,Ferrisburgh North Ferrisburgh Village District,North Ferrisburgh Village District,Nfvil,Yes,No,,Mixed with Residential,No,No,Permitted,Permitted,Permitted,Public Hearing,,Allowed/Conditional,Not Mentioned,Not Mentioned,1.000000000000000,None,2.000000000000000,100.000000000000000,,,200.000000000000000,,40.000000000000000,2.000000000000000,,35.000000000000000,,,,,25 Ft Or 5 Ft For An Accessory Structure,25 Ft Or 10 Ft For An Accessory Structure,,,,,,,,,No,No,2.000000000000000,1.000000000000000,100.000000000000000,,,200.000000000000000,,40.000000000000000,2.000000000000000,2.000000000000000,,35.000000000000000,,,,,,,,25 Ft Or 5 Ft For An Accessory Structure,25 Ft Or 10 Ft For An Accessory Structure,,,,,,,,,,No,No,3.000000000000000,1.000000000000000,100.000000000000000,,,200.000000000000000,,40.000000000000000,4.000000000000000,4.000000000000000,No,No,,35.000000000000000,,,,,,,,,25 Ft Or 5 Ft For An Accessory Structure,25 Ft Or 10 Ft For An Accessory Structure,,,,,,,,,,,,,No,No,4.000000000000000,1.000000000000000,100.000000000000000,,,200.000000000000000,,40.000000000000000,4.000000000000000,4.000000000000000,No,No,,35.000000000000000,,,,,,,,,,25 Ft Or 5 Ft For An Accessory Structure,25 Ft Or 10 Ft For An Accessory Structure,,,,,,,,,,,,,,F,F,5.000000000000000,1,100.000000000000000,25.000000000000000,25.000000000000000,200.000000000000000,,40.000000000000000,4.000000000000000,4.000000000000000,F,F,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,,No,30.000000000000000,1000.000000000000000,,,,,,,,,,,,No,,,,,,Yes,,,,,,,,,,2023-08-07,1,132.310965789810069,9891.577131916723374,535444.308248760877177
Addison,ACRPC,Ferrisburgh ,Ferrisburgh Rural Agricultural District,Rural Agricultural District,Ra-5,Yes,No,,Primarily Residential,No,No,Permitted,Permitted,Permitted,Public Hearing,,Allowed/Conditional,Not Mentioned,Not Mentioned,0.200000000000000,None,5.000000000000000,80.000000000000000,25.000000000000000,25.000000000000000,200.000000000000000,,10.000000000000000,2.000000000000000,,35.000000000000000,,,,,,,,,,,,,,,No,No,10.000000000000000,0.200000000000000,80.000000000000000,25.000000000000000,25.000000000000000,200.000000000000000,,10.000000000000000,2.000000000000000,2.000000000000000,,35.000000000000000,,,,,,,,,,,,,,,,,,,No,No,15.000000000000000,0.200000000000000,80.000000000000000,25.000000000000000,25.000000000000000,200.000000000000000,,10.000000000000000,4.000000000000000,4.000000000000000,No,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,No,No,20.000000000000000,0.200000000000000,80.000000000000000,25.000000000000000,25.000000000000000,200.000000000000000,,10.000000000000000,4.000000000000000,4.000000000000000,No,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,F,F,25.000000000000000,0.2,80.000000000000000,25.000000000000000,25.000000000000000,200.000000000000000,,10.000000000000000,4.000000000000000,4.000000000000000,F,F,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,5.000000000000000,,No,30.000000000000000,1000.000000000000000,,,,,,,,,,,,No,,,,,,Yes,,,,,,,,,,2023-08-07,1,20731.228457236666145,412767.090778315439820,83896434.540930643677711
Addison,ACRPC,Ferrisburgh ,Ferrisburgh Rural Residential District,Rural Residential District,Rr-2,Yes,No,,Primarily Residential,No,No,Permitted,Permitted,Permitted,Public Hearing,,Allowed/Conditional,Not Mentioned,Not Mentioned,0.500000000000000,None,2.000000000000000,80.000000000000000,25.000000000000000,25.000000000000000,200.000000000000000,,20.000000000000000,2.000000000000000,,35.000000000000000,,,,,,,,,,,,,,,No,No,4.000000000000000,0.500000000000000,80.000000000000000,25.000000000000000,25.000000000000000,200.000000000000000,,20.000000000000000,2.000000000000000,2.000000000000000,,35.000000000000000,,,,,,,,,,,,,,,,,,,No,No,6.000000000000000,0.500000000000000,80.000000000000000,25.000000000000000,25.000000000000000,200.000000000000000,,20.000000000000000,4.000000000000000,4.000000000000000,No,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,No,No,8.000000000000000,0.500000000000000,80.000000000000000,25.000000000000000,25.000000000000000,200.000000000000000,,20.000000000000000,4.000000000000000,4.000000000000000,No,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,F,F,10.000000000000000,0.5,80.000000000000000,25.000000000000000,25.000000000000000,200.000000000000000,,20.000000000000000,4.000000000000000,4.000000000000000,F,F,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,,No,30.000000000000000,1000.000000000000000,,,,,,,,,,,,No,,,,,,Yes,,,,,,,,,,2023-08-07,1,854.337356870403255,56048.209659336513141,3457385.956862075719982
Addison,ACRPC,Ferrisburgh ,Ferrisburgh Shoreland District,Shoreland District,Sd-2,Yes,No,,Mixed with Residential,No,No,Permitted,Permitted,Prohibited,Prohibited,,Allowed/Conditional,Not Mentioned,Not Mentioned,0.500000000000000,None,2.000000000000000,80.000000000000000,25.000000000000000,25.000000000000000,200.000000000000000,,20.000000000000000,2.000000000000000,,35.000000000000000,,,,,,,,,,,,,,,No,No,4.000000000000000,0.500000000000000,80.000000000000000,25.000000000000000,25.000000000000000,200.000000000000000,,20.000000000000000,2.000000000000000,2.000000000000000,,35.000000000000000,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,,No,30.000000000000000,1000.000000000000000,,,,,,,,,,,,No,,,,,,Yes,,,,,,,,,,2023-08-07,1,948.204311928423635,48365.756492596119642,3837252.633206222206354
Addison,ACRPC,Goshen ,Goshen Residential Agricultural Conservation District,Residential Agricultural Conservation District,Ldr-10,Yes,No,,Primarily Residential,No,No,Permitted,Permitted,Permitted,Permitted,,Allowed/Conditional,Not Mentioned,Not Mentioned,0.100000000000000,None,10.000000000000000,100.000000000000000,50.000000000000000,50.000000000000000,,,,2.000000000000000,,35.000000000000000,,,,,,,,,,,The Lesser of 2 Stories Or 35 Feet,,,,No,No,20.000000000000000,0.100000000000000,100.000000000000000,50.000000000000000,50.000000000000000,,,,2.000000000000000,2.000000000000000,,35.000000000000000,,,,,,,,,,,,,,,The Lesser of 2 Stories Or 35 Feet,,,,No,No,30.000000000000000,0.100000000000000,100.000000000000000,50.000000000000000,50.000000000000000,,,,2.000000000000000,2.000000000000000,No,No,,35.000000000000000,,,,,,,,,,,,,,,,,,The Lesser of 2 Stories Or 35 Feet,,,,,No,No,40.000000000000000,0.100000000000000,100.000000000000000,50.000000000000000,50.000000000000000,,,,2.000000000000000,2.000000000000000,No,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,The Lesser of 2 Stories Or 35 Feet,,,,,,F,F,50.000000000000000,0.1,100.000000000000000,50.000000000000000,50.000000000000000,,,,2.000000000000000,2.000000000000000,F,F,2.000000000000000,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,,No,30.000000000000000,,1.000000000000000,,,,,,,,,,,No,,,,F,,Yes,T,,,,,,,,,2023-08-18,1,3974.577638271538490,95373.818305227556266,16084569.872206302359700
Addison,ACRPC,Goshen ,Goshen Village District,Village District,Ldr-2,Yes,No,,Primarily Residential,No,No,Permitted,Permitted,Permitted,Permitted,,Allowed/Conditional,Not Mentioned,Not Mentioned,0.500000000000000,None,2.000000000000000,75.000000000000000,25.000000000000000,50.000000000000000,100.000000000000000,,,2.000000000000000,,35.000000000000000,,,,,,,,,,,The Lesser of 2 Stories of 35 Feet,,,,No,No,4.000000000000000,0.500000000000000,75.000000000000000,25.000000000000000,50.000000000000000,100.000000000000000,,,2.000000000000000,2.000000000000000,,35.000000000000000,,,,,,,,,,,,,,,The Lesser of 2 Stories Or 35 Feet,,,,No,No,6.000000000000000,0.500000000000000,75.000000000000000,25.000000000000000,50.000000000000000,100.000000000000000,,,2.000000000000000,2.000000000000000,No,No,,35.000000000000000,,,,,,,,,,,,,,,,,,The Lesser of 2 Stories Or 35 Feet,,,,,No,No,8.000000000000000,0.500000000000000,75.000000000000000,25.000000000000000,50.000000000000000,100.000000000000000,,,,2.000000000000000,No,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,The Lesser of 2 Stories Or 35 Feet,,,,,,F,F,10.000000000000000,0.5,75.000000000000000,25.000000000000000,50.000000000000000,100.000000000000000,,,2.000000000000000,2.000000000000000,F,F,2.000000000000000,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,2.000000000000000,,No,30.000000000000000,,1.000000000000000,,,,,,,,,,,No,,,,F,,Yes,T,,,,,,,,,2023-08-18,1,245.458644647834490,12317.701227396144532,993337.425984235364012
