COUNTY,RPC,JXTN,JXTN_DIST_NAME,DIST_NAME,ABB_DIST_NAME,DIST_MAP,OVER_,EXT_DIST,DIST_TYPE,AFF_DIST,ELD_DIST,F1FDP,F2FDP,F3FDP,F4FDP,F5FDP,ADUDP,AFFDP,PRDDP,BASE_DENS,NOTES,F1F_MIN_LOT,F1F_FSET,F1F_SSET,F1F_RSET,F1F_FRONT,F1F_MAX_LOT_BLDG,F1F_MAX_LOT_IMP,F1F_PARK,F1F_STORIES,F1F_HEIGHT,F1F_FTA,F1F_MIN_UNIT,F1F_MIN_LOT_COND_ALT,F1F_FSET_COND_ALT,F1F_SSET_COND_ALT,F1F_RSET_COND_ALT,F1F_FRONT_COND_ALT,F1F_MAX_LOT_BLDG_COND_ALT,F1F_MAX_LOT_IMP_COND_ALT,F1F_PARK_COND_ALT,F1F_STORIES_COND_ALT,F1F_HEIGHT_COND_ALT,F1F_FTA_COND_ALT,F1F_MIN_UNIT_COND_ALT,F2F_AFF,F2F_ELD,F2F_MIN_LOT,F2F_MAX_DENS,F2F_FSET,F2F_SSET,F2F_RSET,F2F_FRONT,F2F_MAX_LOT_BLDG,F2F_MAX_LOT_IMP,F2F_PARK_1BR,F2F_PARK_2BR,F2F_STORIES,F2F_HEIGHT,F2F_FTA,F2F_MIN_UNIT,F2F_AFF_COND_ALT,F2F_ELD_COND_ALT,F2F_MIN_LOT_COND_ALT,F2F_MAX_DENS_COND_ALT,F2F_FSET_COND_ALT,F2F_SSET_COND_ALT,F2F_RSET_COND_ALT,F2F_FRONT_COND_ALT,F2F_MAX_LOT_BLDG_COND_ALT,F2F_MAX_LOT_IMP_COND_ALT,F2F_PARK_1BR_COND_ALT,F2F_PARK_2BR_COND_ALT,F2F_STORIES_COND_ALT,F2F_HEIGHT_COND_ALT,F2F_FTA_COND_ALT,F2F_MIN_UNIT_COND_ALT,F3F_AFF,F3F_ELD,F3F_MIN_LOT,F3F_MAX_DENS,F3F_FSET,F3F_SSET,F3F_RSET,F3F_FRONT,F3F_MAX_LOT_BLDG,F3F_MAX_LOT_IMP,F3F_PARK_1BR,F3F_PARK_2BR,F3F_CNXN_H2O,F3F_CNXN_TRANSIT,F3F_STORIES,F3F_HEIGHT,F3F_FTA,F3F_MIN_UNIT,F3F_BEDROOMS,F3F_AFF_COND_ALT,F3F_ELD_COND_ALT,F3F_MIN_LOT_COND_ALT,F3F_MAX_DENS_COND_ALT,F3F_FSET_COND_ALT,F3F_SSET_COND_ALT,F3F_RSET_COND_ALT,F3F_FRONT_COND_ALT,F3F_MAX_LOT_BLDG_COND_ALT,F3F_MAX_LOT_IMP_COND_ALT,F3F_PARK_1BR_COND_ALT,F3F_PARK_2BR_COND_ALT,F3F_CNXN_H2O_COND_ALT,F3F_CNXN_TRANSIT_COND_ALT,F3F_STORIES_COND_ALT,F3F_HEIGHT_COND_ALT,F3F_FTA_COND_ALT,F3F_MIN_UNIT_COND_ALT,F3F_BEDROOMS_COND_ALT,F4F_AFF,F4F_ELD,F4F_MIN_LOT,F4F_MAX_DENS,F4F_FSET,F4F_SSET,F4F_RSET,F4F_FRONT,F4F_MAX_LOT_BLDG,F4F_MAX_LOT_IMP,F4F_PARK_1BR,F4F_PARK_2BR,F4F_CNXN_H2O,F4F_CNXN_TRANSIT,F4F_STORIES,F4F_HEIGHT,F4F_FTA,F4F_MIN_UNIT,F4F_BEDROOMS,F4F_MAX_UNIT,F4F_AFF_COND_ALT,F4F_ELD_COND_ALT,F4F_MIN_LOT_COND_ALT,F4F_MAX_DENS_COND_ALT,F4F_FSET_COND_ALT,F4F_SSET_COND_ALT,F4F_RSET_COND_ALT,F4F_FRONT_COND_ALT,F4F_MAX_LOT_BLDG_COND_ALT,F4F_MAX_LOT_IMP_COND_ALT,F4F_PARK_1BR_COND_ALT,F4F_PARK_2BR_COND_ALT,F4F_CNXN_H2O_COND_ALT,F4F_CNXN_TRANSIT_COND_ALT,F4F_STORIES_COND_ALT,F4F_HEIGHT_COND_ALT,F4F_FTA_COND_ALT,F4F_MIN_UNIT_COND_ALT,F4F_BEDROOMS_COND_ALT,F4F_MAX_UNIT_COND_ALT,F5F_AFF,F5F_ELD,F5F_MIN_LOT,F5F_MAX_DENS,F5F_FSET,F5F_SSET,F5F_RSET,F5F_FRONT,F5F_MAX_LOT_BLDG,F5F_MAX_LOT_IMP,F5F_PARK_1BR,F5F_PARK_2BR,F5F_CNXN_H2O,F5F_CNXN_TRANSIT,F5F_STORIES,F5F_FEET,F5F_FTA,F5F_MIN_UNIT,F5F_BEDROOMS,F5F_MAX_UNIT,F5F_AFF_COND_ALT,F5F_ELD_COND_ALT,F5F_MIN_LOT_COND_ALT,F5F_MAX_DENS_COND_ALT,F5F_FSET_COND_ALT,F5F_SSET_COND_ALT,F5F_RSET_COND_ALT,F5F_FRONT_COND_ALT,F5F_MAX_LOT_BLDG_COND_ALT,F5F_MAX_LOT_IMP_COND_ALT,F5F_PARK_1BR_COND_ALT,F5F_PARK_2BR_COND_ALT,F5F_CNXN_H2O_COND_ALT,F5F_CNXN_TRANSIT_COND_ALT,F5F_STORIES_COND_ALT,F5F_FEET_COND_ALT,F5F_FTA_COND_ALT,F5F_MIN_UNIT_COND_ALT,F5F_BEDROOMS_COND_ALT,F5F_MAX_UNIT_COND_ALT,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MAX_DENS,AFF_PARK_1BR,AFF_PARK_2BR,AFF_MIN_UNIT,AFF_BEDROOMS,AFF_MAX_UNIT,AFF_DEF_COND_ALT,AFF_ELD_ONLY_COND_ALT,AFF_MIN_LOT_COND_ALT,AFF_MAX_DENS_COND_ALT,AFF_PARK_1BR_COND_ALT,AFF_PARK_2BR_COND_ALT,AFF_MIN_UNIT_COND_ALT,AFF_BEDROOMS_COND_ALT,AFF_MAX_UNIT_COND_ALT,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_PARK,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_SIZE,ADU_BEDROOMS,ADU_EMP_REQD_COND_ALT,ADU_RENTER_PROH_COND_ALT,ADU_OWNER_REQD_COND_ALT,ADU_ELD_COND_ALT,ADU_MIN_LOT_COND_ALT,ADU_PARK_COND_ALT,ADU_PRIM_STRUC_COND_ALT,ADU_MAX_PCT_COND_ALT,ADU_MAX_SIZE_COND_ALT,ADU_BEDROOMS_COND_ALT,PRD_MHP,PRD_MIN_LOT,PRD_MAX_DENS,PRD_MAX_UNIT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,PRD_MHP_COND_ALT,PRD_MIN_LOT_COND_ALT,PRD_MAX_DENS_COND_ALT,PRD_MAX_UNIT_COND_ALT,PUD_SUBDV_COND_ALT,PUD_THRESH_COND_ALT,PUD_ALLOW_COND_ALT,PUD_CONSERVE_COND_ALT,BYLAW_EFF,Version,Acres,Shape_Length,Shape_Area
Chittenden,CCRPC,Westford ,Westford Rural 5 District,Rural 5 District,R5,Yes,No,,Mixed with Residential,No,No,Permitted,Permitted,Permitted,Public Hearing,,Allowed/Conditional,Allowed/Conditional,Not Mentioned,0.200000000000000,None,0.500000000000000,50.000000000000000,25.000000000000000,25.000000000000000,,,,2.000000000000000,,35.000000000000000,,,,,,,,,,,,,,,No,No,0.500000000000000,0.200000000000000,50.000000000000000,25.000000000000000,25.000000000000000,,,,2.000000000000000,2.000000000000000,,35.000000000000000,,,,,,,,,,,,,,,,,,,No,No,0.500000000000000,0.200000000000000,50.000000000000000,25.000000000000000,25.000000000000000,,,30.000000000000000,1.500000000000000,1.500000000000000,No,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,No,No,0.500000000000000,0.200000000000000,50.000000000000000,25.000000000000000,25.000000000000000,,,30.000000000000000,1.500000000000000,1.500000000000000,No,No,,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,F,F,0.500000000000000,0.2,50.000000000000000,25.000000000000000,25.000000000000000,,,30.000000000000000,1.500000000000000,1.500000000000000,,,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,"Owned By Its Inhabitants, Whose Gross Annual Household Income Does not Exceed 80% of The Median Income For The Burlington Msa (Metropolitan Statistical Area), As Defined By The United States Department of Housing And Urban Development; And The Total Annual Cost of Housing, Including Principal, Interest, Taxes, Insurance, And Condominium Association Fees is not More Than 30% of The Household’s Gross Annual Income; Or Rented By Its Inhabitants Whose Gross Annual Household Income Does not Exceed 120% of The Median Income For Burlington Msa, As Defined By The United States Department of Housing And Urban Development, And The Total Annual Cost of The Housing, Including Rent, Utilities, And Condominium Association Fees, is not More Than 30 % of The Household’s Gross Annual Income.",No,,,,,,,,,,,,,,,,,No,No,No,No,,1.000000000000000,No,30.000000000000000,1000.000000000000000,,,,,,,,,,,,No,,,,F,,Yes,,,,,,,,,,2023-07-29,1,2293.542947346469191,86494.367503382818541,9281653.335005236789584
Chittenden,CCRPC,Westford ,Westford Transect 1,Transect 1,Fbc T1,Yes,Yes,,Nonresidential,No,No,Overlay,Overlay,Overlay,Overlay,,Not Mentioned,Not Mentioned,Not Mentioned,,None,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,,No,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,2023-08-11,1,3.086517106097213,846.164126125184680,12490.710856102517937
Chittenden,CCRPC,Essex ,Essex Agricultural - Residential,Agricultural - Residential,Ar,Yes,No,,Mixed with Residential,No,No,Permitted,Permitted,Prohibited,Prohibited,,Allowed/Conditional,Not Mentioned,Allowed/Conditional,0.330000000000000,None,3.000000000000000,50.000000000000000,20.000000000000000,25.000000000000000,200.000000000000000,40.000000000000000,,2.300000000000000,,40.000000000000000,,500.000000000000000,,,,,,,,,,,,,No,No,3.000000000000000,,50.000000000000000,20.000000000000000,25.000000000000000,200.000000000000000,40.000000000000000,,2.300000000000000,4.600000000000000,,40.000000000000000,,350.000000000000000,,,,,,,,,,,,,,,,,No,No,,,,,,200.000000000000000,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,200.000000000000000,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,200.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,Yes,No,Yes,No,,,Yes,30.000000000000000,,,,,,,,,,,,,Yes,,,,F,,Yes,F,,,,,,,,,2023-07-29,1,6579.385913690348389,171542.922561971645337,26625871.243764180690050
Chittenden,CCRPC,Essex ,Essex Center,Center,Ctr,Yes,No,,Mixed with Residential,No,No,Permitted,Permitted,Permitted,Public Hearing,,Not Mentioned,Not Mentioned,Not Mentioned,4.340000000000000,None,0.230000000000000,30.000000000000000,10.000000000000000,15.000000000000000,75.000000000000000,40.000000000000000,,2.300000000000000,,40.000000000000000,,,,,,,,,,,,,,,No,No,0.030000000000000,,30.000000000000000,10.000000000000000,15.000000000000000,75.000000000000000,40.000000000000000,,2.300000000000000,1.670000000000000,,40.000000000000000,,,,,,,,,,,,,,,,,,,No,No,0.030000000000000,,30.000000000000000,10.000000000000000,15.000000000000000,75.000000000000000,40.000000000000000,,2.300000000000000,1.670000000000000,No,No,,40.000000000000000,,,,,,,,,,,,,,,,,,,,,,,No,No,0.030000000000000,,30.000000000000000,10.000000000000000,15.000000000000000,75.000000000000000,40.000000000000000,,2.300000000000000,1.670000000000000,No,No,,40.000000000000000,,,,4.000000000000000,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,,No,,,,,,,,,,,,,,No,,,,F,,Yes,F,,,,,,,,,2023-07-29,1,129.532737257864312,6975.673178384648054,524201.198914891690947
Chittenden,CCRPC,Essex ,Essex Conservation,Conservation,C1,Yes,No,,Mixed with Residential,No,No,Permitted,Permitted,Permitted,Public Hearing,,Not Mentioned,Not Mentioned,Allowed/Conditional,0.100000000000000,None,10.000000000000000,50.000000000000000,25.000000000000000,25.000000000000000,200.000000000000000,70.000000000000000,,2.300000000000000,2.000000000000000,25.000000000000000,,,,,,,,,,,,,,,No,No,10.000000000000000,,50.000000000000000,25.000000000000000,25.000000000000000,200.000000000000000,70.000000000000000,,2.300000000000000,1.670000000000000,2.000000000000000,25.000000000000000,,,,,,,,,,,,,,,,,,,No,No,10.000000000000000,,50.000000000000000,25.000000000000000,25.000000000000000,200.000000000000000,70.000000000000000,,2.300000000000000,1.670000000000000,No,No,2.000000000000000,25.000000000000000,,,,,,,,,,,,,,,,,,,,,,,No,No,10.000000000000000,,50.000000000000000,25.000000000000000,25.000000000000000,200.000000000000000,70.000000000000000,,2.300000000000000,1.670000000000000,No,No,2.000000000000000,25.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,F,F,10.000000000000000,,50.000000000000000,25.000000000000000,25.000000000000000,200.000000000000000,70.000000000000000,,2.300000000000000,1.670000000000000,F,F,2.000000000000000,25.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,,No,,,,,,,,,,,,,,Yes,10.000000000000000,,,T,,Yes,F,,,,,,,,,2023-07-29,1,5124.431503683385017,99788.156229639775120,20737870.555769346654415
Chittenden,CCRPC,Essex ,Essex Floodplain,Floodplain,C2,Yes,No,,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Prohibited,Prohibited,Prohibited,,None,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,,No,,,,,,,,,,,,,,No,,,,F,,No,F,,,,,,,,,2023-07-29,1,2347.062791941953492,133482.488154424529057,9498240.796187667176127
Chittenden,CCRPC,Essex ,Essex High Density Residential,High Density Residential,R3,Yes,No,,Primarily Residential,No,No,Permitted,Permitted,Permitted,Public Hearing,,Not Mentioned,Not Mentioned,Not Mentioned,4.340000000000000,None,0.230000000000000,25.000000000000000,10.000000000000000,15.000000000000000,100.000000000000000,40.000000000000000,,2.300000000000000,,40.000000000000000,,,,,,,,,,,,,,,No,No,0.230000000000000,,25.000000000000000,10.000000000000000,15.000000000000000,100.000000000000000,40.000000000000000,,2.300000000000000,1.670000000000000,,40.000000000000000,,,,,,,,,,,,,,,,,,,No,No,0.230000000000000,,25.000000000000000,10.000000000000000,15.000000000000000,100.000000000000000,40.000000000000000,,2.300000000000000,1.670000000000000,No,No,,40.000000000000000,,,,,,,,,,,,,,,,,,,,,,,No,No,0.230000000000000,,25.000000000000000,10.000000000000000,15.000000000000000,100.000000000000000,40.000000000000000,,2.300000000000000,1.670000000000000,No,No,,40.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,F,F,0.230000000000000,,25.000000000000000,10.000000000000000,15.000000000000000,100.000000000000000,40.000000000000000,,2.300000000000000,1.670000000000000,F,F,,40.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,,No,,,,,,,,,,,,,,No,,,,F,,Yes,F,,,,,,,,,2023-07-29,1,10.262372331206961,1058.075185734786828,41530.411489880658337
Chittenden,CCRPC,Essex ,Essex Historic Preservation - Design Control,Historic Preservation - Design Control,Hp-Dc,Yes,No,,Primarily Residential,No,No,Permitted,Permitted,Permitted,Public Hearing,,Not Mentioned,Allowed/Conditional,Not Mentioned,2.170000000000000,None,0.460000000000000,,,,,40.000000000000000,,2.300000000000000,,40.000000000000000,,,,,,,,,,,,,,,No,No,0.460000000000000,2.180000000000000,,,,,40.000000000000000,,2.300000000000000,1.670000000000000,,40.000000000000000,,,,,,,,,,,,,,,,,,,No,No,0.460000000000000,2.180000000000000,,,,,40.000000000000000,,2.300000000000000,1.670000000000000,No,No,,40.000000000000000,,,,,,,,,,,,,,,,,,,,,,,No,No,0.460000000000000,2.180000000000000,,,,,40.000000000000000,,2.300000000000000,1.670000000000000,No,No,,40.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,F,F,0.460000000000000,2.18,,,,,40.000000000000000,,2.300000000000000,1.670000000000000,F,F,,40.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,No,0.460000000000000,2.180000000000000,2.300000000000000,1.670000000000000,,,,,,,,,,,,,No,No,No,No,,,No,,,,,,,,,,,,,,No,,,,F,,Yes,F,,,,,,,,,2023-07-29,1,9.126353819275193,1354.092939945806847,36933.100581838458311
Chittenden,CCRPC,Essex ,Essex Industrial,Industrial,I1,Yes,No,,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Not Mentioned,Prohibited,Not Mentioned,,None,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,,No,,,,,,,,,,,,,,No,,,,F,,Yes,F,,,,,,,,,2023-07-29,1,901.213772894395447,33376.505663111136528,3647088.374959614127874
Chittenden,CCRPC,Essex Junction ,Essex Junction Flood Plain,Flood Plain,Fp,Yes,No,,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Prohibited,Prohibited,Prohibited,,None,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,,No,,,,,,,,,,,,,,No,,,,,,No,F,,,,,,,,,2023-08-02,1,272.674966349428701,24046.282791342422570,1103478.142285379348323
