COUNTY,RPC,JXTN,JXTN_DIST_NAME,DIST_NAME,ABB_DIST_NAME,DIST_MAP,OVER_,EXT_DIST,DIST_TYPE,AFF_DIST,ELD_DIST,F1FDP,F2FDP,F3FDP,F4FDP,F5FDP,ADUDP,AFFDP,PRDDP,BASE_DENS,NOTES,F1F_MIN_LOT,F1F_FSET,F1F_SSET,F1F_RSET,F1F_FRONT,F1F_MAX_LOT_BLDG,F1F_MAX_LOT_IMP,F1F_PARK,F1F_STORIES,F1F_HEIGHT,F1F_FTA,F1F_MIN_UNIT,F1F_MIN_LOT_COND_ALT,F1F_FSET_COND_ALT,F1F_SSET_COND_ALT,F1F_RSET_COND_ALT,F1F_FRONT_COND_ALT,F1F_MAX_LOT_BLDG_COND_ALT,F1F_MAX_LOT_IMP_COND_ALT,F1F_PARK_COND_ALT,F1F_STORIES_COND_ALT,F1F_HEIGHT_COND_ALT,F1F_FTA_COND_ALT,F1F_MIN_UNIT_COND_ALT,F2F_AFF,F2F_ELD,F2F_MIN_LOT,F2F_MAX_DENS,F2F_FSET,F2F_SSET,F2F_RSET,F2F_FRONT,F2F_MAX_LOT_BLDG,F2F_MAX_LOT_IMP,F2F_PARK_1BR,F2F_PARK_2BR,F2F_STORIES,F2F_HEIGHT,F2F_FTA,F2F_MIN_UNIT,F2F_AFF_COND_ALT,F2F_ELD_COND_ALT,F2F_MIN_LOT_COND_ALT,F2F_MAX_DENS_COND_ALT,F2F_FSET_COND_ALT,F2F_SSET_COND_ALT,F2F_RSET_COND_ALT,F2F_FRONT_COND_ALT,F2F_MAX_LOT_BLDG_COND_ALT,F2F_MAX_LOT_IMP_COND_ALT,F2F_PARK_1BR_COND_ALT,F2F_PARK_2BR_COND_ALT,F2F_STORIES_COND_ALT,F2F_HEIGHT_COND_ALT,F2F_FTA_COND_ALT,F2F_MIN_UNIT_COND_ALT,F3F_AFF,F3F_ELD,F3F_MIN_LOT,F3F_MAX_DENS,F3F_FSET,F3F_SSET,F3F_RSET,F3F_FRONT,F3F_MAX_LOT_BLDG,F3F_MAX_LOT_IMP,F3F_PARK_1BR,F3F_PARK_2BR,F3F_CNXN_H2O,F3F_CNXN_TRANSIT,F3F_STORIES,F3F_HEIGHT,F3F_FTA,F3F_MIN_UNIT,F3F_BEDROOMS,F3F_AFF_COND_ALT,F3F_ELD_COND_ALT,F3F_MIN_LOT_COND_ALT,F3F_MAX_DENS_COND_ALT,F3F_FSET_COND_ALT,F3F_SSET_COND_ALT,F3F_RSET_COND_ALT,F3F_FRONT_COND_ALT,F3F_MAX_LOT_BLDG_COND_ALT,F3F_MAX_LOT_IMP_COND_ALT,F3F_PARK_1BR_COND_ALT,F3F_PARK_2BR_COND_ALT,F3F_CNXN_H2O_COND_ALT,F3F_CNXN_TRANSIT_COND_ALT,F3F_STORIES_COND_ALT,F3F_HEIGHT_COND_ALT,F3F_FTA_COND_ALT,F3F_MIN_UNIT_COND_ALT,F3F_BEDROOMS_COND_ALT,F4F_AFF,F4F_ELD,F4F_MIN_LOT,F4F_MAX_DENS,F4F_FSET,F4F_SSET,F4F_RSET,F4F_FRONT,F4F_MAX_LOT_BLDG,F4F_MAX_LOT_IMP,F4F_PARK_1BR,F4F_PARK_2BR,F4F_CNXN_H2O,F4F_CNXN_TRANSIT,F4F_STORIES,F4F_HEIGHT,F4F_FTA,F4F_MIN_UNIT,F4F_BEDROOMS,F4F_MAX_UNIT,F4F_AFF_COND_ALT,F4F_ELD_COND_ALT,F4F_MIN_LOT_COND_ALT,F4F_MAX_DENS_COND_ALT,F4F_FSET_COND_ALT,F4F_SSET_COND_ALT,F4F_RSET_COND_ALT,F4F_FRONT_COND_ALT,F4F_MAX_LOT_BLDG_COND_ALT,F4F_MAX_LOT_IMP_COND_ALT,F4F_PARK_1BR_COND_ALT,F4F_PARK_2BR_COND_ALT,F4F_CNXN_H2O_COND_ALT,F4F_CNXN_TRANSIT_COND_ALT,F4F_STORIES_COND_ALT,F4F_HEIGHT_COND_ALT,F4F_FTA_COND_ALT,F4F_MIN_UNIT_COND_ALT,F4F_BEDROOMS_COND_ALT,F4F_MAX_UNIT_COND_ALT,F5F_AFF,F5F_ELD,F5F_MIN_LOT,F5F_MAX_DENS,F5F_FSET,F5F_SSET,F5F_RSET,F5F_FRONT,F5F_MAX_LOT_BLDG,F5F_MAX_LOT_IMP,F5F_PARK_1BR,F5F_PARK_2BR,F5F_CNXN_H2O,F5F_CNXN_TRANSIT,F5F_STORIES,F5F_FEET,F5F_FTA,F5F_MIN_UNIT,F5F_BEDROOMS,F5F_MAX_UNIT,F5F_AFF_COND_ALT,F5F_ELD_COND_ALT,F5F_MIN_LOT_COND_ALT,F5F_MAX_DENS_COND_ALT,F5F_FSET_COND_ALT,F5F_SSET_COND_ALT,F5F_RSET_COND_ALT,F5F_FRONT_COND_ALT,F5F_MAX_LOT_BLDG_COND_ALT,F5F_MAX_LOT_IMP_COND_ALT,F5F_PARK_1BR_COND_ALT,F5F_PARK_2BR_COND_ALT,F5F_CNXN_H2O_COND_ALT,F5F_CNXN_TRANSIT_COND_ALT,F5F_STORIES_COND_ALT,F5F_FEET_COND_ALT,F5F_FTA_COND_ALT,F5F_MIN_UNIT_COND_ALT,F5F_BEDROOMS_COND_ALT,F5F_MAX_UNIT_COND_ALT,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MAX_DENS,AFF_PARK_1BR,AFF_PARK_2BR,AFF_MIN_UNIT,AFF_BEDROOMS,AFF_MAX_UNIT,AFF_DEF_COND_ALT,AFF_ELD_ONLY_COND_ALT,AFF_MIN_LOT_COND_ALT,AFF_MAX_DENS_COND_ALT,AFF_PARK_1BR_COND_ALT,AFF_PARK_2BR_COND_ALT,AFF_MIN_UNIT_COND_ALT,AFF_BEDROOMS_COND_ALT,AFF_MAX_UNIT_COND_ALT,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_PARK,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_SIZE,ADU_BEDROOMS,ADU_EMP_REQD_COND_ALT,ADU_RENTER_PROH_COND_ALT,ADU_OWNER_REQD_COND_ALT,ADU_ELD_COND_ALT,ADU_MIN_LOT_COND_ALT,ADU_PARK_COND_ALT,ADU_PRIM_STRUC_COND_ALT,ADU_MAX_PCT_COND_ALT,ADU_MAX_SIZE_COND_ALT,ADU_BEDROOMS_COND_ALT,PRD_MHP,PRD_MIN_LOT,PRD_MAX_DENS,PRD_MAX_UNIT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,PRD_MHP_COND_ALT,PRD_MIN_LOT_COND_ALT,PRD_MAX_DENS_COND_ALT,PRD_MAX_UNIT_COND_ALT,PUD_SUBDV_COND_ALT,PUD_THRESH_COND_ALT,PUD_ALLOW_COND_ALT,PUD_CONSERVE_COND_ALT,BYLAW_EFF,Version,Acres,Shape_Length,Shape_Area
Washington,CVRPC,East Montpelier ,East Montpelier Residential-Commercial District,Residential-Commercial District,C,Yes,No,,Mixed with Residential,No,No,Permitted,Permitted,Public Hearing,Public Hearing,,Allowed/Conditional,Not Mentioned,Public Hearing,,Site Plan Approval Has Public Hearings.,1.000000000000000,40.000000000000000,15.000000000000000,15.000000000000000,150.000000000000000,,,2.000000000000000,,35.000000000000000,,,,,,,,,,,,,,,No,No,1.000000000000000,,40.000000000000000,15.000000000000000,15.000000000000000,150.000000000000000,,,2.000000000000000,2.000000000000000,,35.000000000000000,,,,,,,,,,,,,,,,,,,No,No,1.000000000000000,,40.000000000000000,15.000000000000000,15.000000000000000,150.000000000000000,,,1.300000000000000,1.300000000000000,Yes,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,No,No,1.000000000000000,,40.000000000000000,15.000000000000000,15.000000000000000,150.000000000000000,,,1.300000000000000,1.300000000000000,Yes,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,F,F,1.000000000000000,,40.000000000000000,15.000000000000000,15.000000000000000,150.000000000000000,,,1.300000000000000,1.300000000000000,T,F,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,1.000000000000000,No,30.000000000000000,1200.000000000000000,,,,,,,,,,,,Yes,,,,F,,Yes,T,,,Drb Can Permit a Density of up to 25% Over Base District Density,,,,,,2024-05-29,1,1802.026039744265518,21515.658908626002813,7292551.910095972940326
Washington,CVRPC,East Montpelier ,East Montpelier Rural Residential-Agricultural District,Rural Residential-Agricultural District,D,Yes,No,,Mixed with Residential,No,No,Permitted,Permitted,Public Hearing,Public Hearing,,Allowed/Conditional,Not Mentioned,Public Hearing,,Site Plan Approval Has Public Hearings. Multi-Family Developments With More Than 6 Dwelling Units Require Conditional Use Approval.,3.000000000000000,40.000000000000000,25.000000000000000,25.000000000000000,250.000000000000000,,,2.000000000000000,,35.000000000000000,,,,,,,,,,,,,,,No,No,2.000000000000000,,40.000000000000000,25.000000000000000,25.000000000000000,250.000000000000000,,,2.000000000000000,2.000000000000000,,35.000000000000000,,,,,,,,,,,,,,,,,,,No,No,3.000000000000000,,40.000000000000000,25.000000000000000,25.000000000000000,250.000000000000000,,,1.300000000000000,1.300000000000000,Yes,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,No,No,3.000000000000000,,40.000000000000000,25.000000000000000,25.000000000000000,250.000000000000000,,,1.300000000000000,1.300000000000000,Yes,No,,35.000000000000000,,,,6.000000000000000,,,,,,,,,,,,,,,,,,,,,F,F,3.000000000000000,,40.000000000000000,25.000000000000000,25.000000000000000,250.000000000000000,,,1.300000000000000,1.300000000000000,T,F,,35.000000000000000,,,,6.000000000000000,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,1.000000000000000,No,30.000000000000000,1200.000000000000000,,,,,,,,,,,,Yes,,,,F,,Yes,T,,,Drb Can Permit a Density of up to 25% Over Base District Density,,,,,,2024-05-29,1,7686.741160535179006,52021.736677598419192,31107185.854333899915218
Washington,CVRPC,East Montpelier ,East Montpelier Village Mixed Use District,Village Mixed Use District,Vmu,Yes,No,,Mixed with Residential,No,No,Permitted,Permitted,Public Hearing,Public Hearing,,Allowed/Conditional,Not Mentioned,Public Hearing,,Site Plan Approval Has Public Hearings. Lot Coverage (Buildings And Impervious Surfaces): 80% For Lots <0.25 Acres; 70% Or 0.2 Acres For Lots >=0.25 & <0.5 Acres; 60% Or 0.35 Acres For Lots >=0.5 & <1 Acre; 45% Or 0.6 Acres For Lots >1 Acre.,0.500000000000000,40.000000000000000,10.000000000000000,10.000000000000000,50.000000000000000,,,2.000000000000000,,35.000000000000000,,,,,,,,,See Visible Atlas Notes,,,,,,No,No,0.500000000000000,,40.000000000000000,10.000000000000000,10.000000000000000,50.000000000000000,,,2.000000000000000,2.000000000000000,,35.000000000000000,,,,,,,,,,,,See Visible Atlas Notes,,,,,,,No,No,0.500000000000000,,40.000000000000000,10.000000000000000,10.000000000000000,50.000000000000000,,,1.300000000000000,1.300000000000000,Yes,No,,35.000000000000000,,,,,,,,,,,,,See Visible Atlas Notes,,,,,,,,,,No,No,0.500000000000000,,40.000000000000000,10.000000000000000,10.000000000000000,50.000000000000000,,,1.300000000000000,1.300000000000000,Yes,No,,35.000000000000000,,,,,,,,,,,,,,See Visible Atlas Notes,,,,,,,,,,,F,F,0.500000000000000,,40.000000000000000,10.000000000000000,10.000000000000000,50.000000000000000,,,1.300000000000000,1.300000000000000,T,F,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,1.000000000000000,No,30.000000000000000,1200.000000000000000,,,,,,,,,,,,No,,,,F,,Yes,T,,,Drb Can Permit a Density of up to 100% Over Base District Density,,,,,,2024-05-29,1,330.677989523980500,10337.545871656295276,1338208.411501104710624
Washington,CVRPC,East Montpelier ,East Montpelier Village Residential District,Village Residential District,Vr,Yes,No,,Primarily Residential,No,No,Permitted,Permitted,Public Hearing,Public Hearing,,Allowed/Conditional,Not Mentioned,Public Hearing,,Site Plan Approval Has Public Hearings.,1.000000000000000,40.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,2.000000000000000,,35.000000000000000,,,,,,,,,,,,,,,No,No,1.000000000000000,,40.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,2.000000000000000,2.000000000000000,,35.000000000000000,,,,,,,,,,,,,,,,,,,No,No,1.000000000000000,,40.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,1.300000000000000,1.300000000000000,Yes,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,No,No,1.000000000000000,,40.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,1.300000000000000,1.300000000000000,Yes,Yes,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,F,F,0.500000000000000,,40.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,1.300000000000000,1.300000000000000,T,F,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,1.000000000000000,No,30.000000000000000,1200.000000000000000,,,,,,,,,,,,Yes,,,,F,,Yes,T,,,Drb Can Permit a Density of up to 100% Over Base District Density,,,,,,2024-05-29,1,781.198524748956061,10262.544815484687206,3161403.147443216294050
Washington,CVRPC,East Montpelier ,East Montpelier Village Residential Medium Density District,Village Residential Medium Density District,Vrmd,Yes,No,,Primarily Residential,No,No,Permitted,Permitted,Public Hearing,Public Hearing,,Allowed/Conditional,Not Mentioned,Public Hearing,,Site Plan Approval Has Public Hearings. Lot Coverage (Buildings And Impervious Surfaces): 80% For Lots <0.25 Acres; 70% Or 0.2 Acres For Lots >=0.25 & <0.5 Acres; 60% Or 0.35 Acres For Lots >=0.5 & <1 Acre; 45% Or 0.6 Acres For Lots >1 Acre.,0.500000000000000,40.000000000000000,10.000000000000000,10.000000000000000,75.000000000000000,,,2.000000000000000,,35.000000000000000,,,,,,,,,See Visible Atlas Notes,,,,,,No,No,0.500000000000000,,40.000000000000000,10.000000000000000,10.000000000000000,75.000000000000000,,,2.000000000000000,2.000000000000000,,35.000000000000000,,,,,,,,,,,,See Visible Atlas Notes,,,,,,,No,No,0.500000000000000,,40.000000000000000,10.000000000000000,10.000000000000000,75.000000000000000,,,1.300000000000000,1.300000000000000,Yes,No,,35.000000000000000,,,,,,,,,,,,,See Visible Atlas Notes,,,,,,,,,,No,No,0.500000000000000,,40.000000000000000,10.000000000000000,10.000000000000000,75.000000000000000,,,1.300000000000000,1.300000000000000,Yes,No,,35.000000000000000,,,,6.000000000000000,,,,,,,,,,See Visible Atlas Notes,,,,,,,,,,,F,F,0.500000000000000,,40.000000000000000,10.000000000000000,10.000000000000000,75.000000000000000,,,1.300000000000000,1.300000000000000,T,F,,35.000000000000000,,,,6.000000000000000,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,1.000000000000000,No,30.000000000000000,1200.000000000000000,,,,,,,,,,,,No,,,,F,,Yes,T,,,Drb Can Permit a Density of up to 100% Over Base District Density,,,,,,2024-05-29,1,163.362870265516193,6700.208476283124583,661107.101295061525889
Washington,CVRPC,Fayston ,Fayston Flood Hazard Overlay District,Flood Hazard Overlay District,Fho,Yes,Yes,,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Allowed/Conditional,Prohibited,Prohibited,," ""New Structures, Except As Required For Flood Control Or Stream Management, Are Specifically Prohibited Within The Flood Hazard Overlay District. Additions Or Substantial Improvements [See Article 10 For Definition Of Substantial Improvement] to Structures Legally In Existence As Of The Effective Date Of These Regulations May Be Allowed Subject to Conditional Use Review And Applicable Federal And State Requirements For Development Within Flood Hazard Areas."" (Zoning Districts And Standards, Page 20). Adus Are Thus Permitted Only For Existing Structures. ",,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,1.000000000000000,Yes,30.000000000000000,,,,,,,,,,,<=500ft Does not Need to Be Elevated Above Flood Level; 900ft Max,,No,,,,,,No,,,,,,,,,,2024-05-30,1,80.463213857798110,11220.572017565495116,325623.576446442224551
Washington,CVRPC,Fayston ,Fayston Forest Reserve District,Forest Reserve District,Fr,Yes,No,,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Prohibited,Prohibited,Prohibited,,None,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,,No,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,2024-05-30,1,2962.629416948488142,34918.020931842627760,11989354.391649249941111
Washington,CVRPC,Fayston ,Fayston Industrial District,Industrial District,Id,Yes,No,,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Prohibited,Prohibited,Prohibited,,None,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,,No,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,2024-05-30,1,18.990201315185370,1505.945491036774683,76850.736792802126729
Washington,CVRPC,Fayston ,Fayston Irasville Commercial District,Irasville Commercial District,Ic,Yes,No,,Mixed with Residential,No,No,Permitted,Permitted,Public Hearing,Public Hearing,,Allowed/Conditional,Not Mentioned,Public Hearing,,"Multi-Family Developments Are Permitted Within Puds (Town Of Fayston Land Use Regulations, Page 15).",1.000000000000000,65.000000000000000,15.000000000000000,15.000000000000000,75.000000000000000,,,2.000000000000000,,35.000000000000000,,,,,,,,,,,,,,,No,No,1.000000000000000,,65.000000000000000,15.000000000000000,15.000000000000000,75.000000000000000,,,2.000000000000000,2.000000000000000,,35.000000000000000,,,,,,,,,,,,,,,,,,,No,No,1.000000000000000,,65.000000000000000,15.000000000000000,15.000000000000000,75.000000000000000,,,1.500000000000000,1.500000000000000,Yes,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,No,No,1.000000000000000,,65.000000000000000,15.000000000000000,15.000000000000000,75.000000000000000,,,1.500000000000000,1.500000000000000,Yes,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000000000,,65.000000000000000,15.000000000000000,15.000000000000000,75.000000000000000,,,,,T,F,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,1.000000000000000,Yes,30.000000000000000,900.000000000000000,,,,,,,,,,,,No,,,,F,,Yes,F,,,,,,,,,2024-05-30,1,13.227997697668709,1131.411455361373328,53531.890077775475220
Washington,CVRPC,Fayston ,Fayston Recreation District,Recreation District,Rec,Yes,No,,Mixed with Residential,No,No,Permitted,Public Hearing,Public Hearing,Public Hearing,,Allowed/Conditional,Not Mentioned,Public Hearing,1.000000000000000,"Multi-Family Developments Are Permitted Only Within Puds (Town Of Fayston Land Use Regulations, Page 11).",1.000000000000000,65.000000000000000,25.000000000000000,25.000000000000000,125.000000000000000,,40.000000000000000,2.000000000000000,,35.000000000000000,,,,,,,,,,,,,,,No,No,1.000000000000000,,65.000000000000000,25.000000000000000,25.000000000000000,125.000000000000000,,40.000000000000000,2.000000000000000,2.000000000000000,,35.000000000000000,,,,,,Base Density: 1; Tdr Density: 4 Per Acre,,,,,,,,,,,,,No,No,1.000000000000000,,65.000000000000000,25.000000000000000,25.000000000000000,125.000000000000000,,40.000000000000000,,,Yes,No,,35.000000000000000,,,,,,,Base Density: 1; Tdr Density: 4 Per Acre,,,,,,,3 Spaces For Every 2 Units,3 Spaces For Every 2 Units,,,,,,,,No,No,1.000000000000000,,65.000000000000000,25.000000000000000,25.000000000000000,125.000000000000000,,40.000000000000000,,,Yes,No,,35.000000000000000,,,,,,,,Base Density: 1; Tdr Density: 4 Per Acre,,,,,,,3 Spaces For Every 2 Units,3 Spaces For Every 2 Units,,,,,,,,,F,F,1.000000000000000,1,65.000000000000000,25.000000000000000,25.000000000000000,125.000000000000000,,40.000000000000000,,,T,F,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,No,No,No,,1.000000000000000,Yes,30.000000000000000,900.000000000000000,,,,,,,,,,,,No,,,,F,,Yes,F,,,,,,,,,2024-05-30,1,1604.898351617044682,20730.435292181868135,6494803.227846642956138
