COUNTY,RPC,JXTN,JXTN_DIST_NAME,DIST_NAME,ABB_DIST_NAME,DIST_MAP,OVER_,EXT_DIST,DIST_TYPE,AFF_DIST,ELD_DIST,F1FDP,F2FDP,F3FDP,F4FDP,F5FDP,ADUDP,AFFDP,PRDDP,BASE_DENS,NOTES,F1F_MIN_LOT,F1F_FSET,F1F_SSET,F1F_RSET,F1F_FRONT,F1F_MAX_LOT_BLDG,F1F_MAX_LOT_IMP,F1F_PARK,F1F_STORIES,F1F_HEIGHT,F1F_FTA,F1F_MIN_UNIT,F1F_MIN_LOT_COND_ALT,F1F_FSET_COND_ALT,F1F_SSET_COND_ALT,F1F_RSET_COND_ALT,F1F_FRONT_COND_ALT,F1F_MAX_LOT_BLDG_COND_ALT,F1F_MAX_LOT_IMP_COND_ALT,F1F_PARK_COND_ALT,F1F_STORIES_COND_ALT,F1F_HEIGHT_COND_ALT,F1F_FTA_COND_ALT,F1F_MIN_UNIT_COND_ALT,F2F_AFF,F2F_ELD,F2F_MIN_LOT,F2F_MAX_DENS,F2F_FSET,F2F_SSET,F2F_RSET,F2F_FRONT,F2F_MAX_LOT_BLDG,F2F_MAX_LOT_IMP,F2F_PARK_1BR,F2F_PARK_2BR,F2F_STORIES,F2F_HEIGHT,F2F_FTA,F2F_MIN_UNIT,F2F_AFF_COND_ALT,F2F_ELD_COND_ALT,F2F_MIN_LOT_COND_ALT,F2F_MAX_DENS_COND_ALT,F2F_FSET_COND_ALT,F2F_SSET_COND_ALT,F2F_RSET_COND_ALT,F2F_FRONT_COND_ALT,F2F_MAX_LOT_BLDG_COND_ALT,F2F_MAX_LOT_IMP_COND_ALT,F2F_PARK_1BR_COND_ALT,F2F_PARK_2BR_COND_ALT,F2F_STORIES_COND_ALT,F2F_HEIGHT_COND_ALT,F2F_FTA_COND_ALT,F2F_MIN_UNIT_COND_ALT,F3F_AFF,F3F_ELD,F3F_MIN_LOT,F3F_MAX_DENS,F3F_FSET,F3F_SSET,F3F_RSET,F3F_FRONT,F3F_MAX_LOT_BLDG,F3F_MAX_LOT_IMP,F3F_PARK_1BR,F3F_PARK_2BR,F3F_CNXN_H2O,F3F_CNXN_TRANSIT,F3F_STORIES,F3F_HEIGHT,F3F_FTA,F3F_MIN_UNIT,F3F_BEDROOMS,F3F_AFF_COND_ALT,F3F_ELD_COND_ALT,F3F_MIN_LOT_COND_ALT,F3F_MAX_DENS_COND_ALT,F3F_FSET_COND_ALT,F3F_SSET_COND_ALT,F3F_RSET_COND_ALT,F3F_FRONT_COND_ALT,F3F_MAX_LOT_BLDG_COND_ALT,F3F_MAX_LOT_IMP_COND_ALT,F3F_PARK_1BR_COND_ALT,F3F_PARK_2BR_COND_ALT,F3F_CNXN_H2O_COND_ALT,F3F_CNXN_TRANSIT_COND_ALT,F3F_STORIES_COND_ALT,F3F_HEIGHT_COND_ALT,F3F_FTA_COND_ALT,F3F_MIN_UNIT_COND_ALT,F3F_BEDROOMS_COND_ALT,F4F_AFF,F4F_ELD,F4F_MIN_LOT,F4F_MAX_DENS,F4F_FSET,F4F_SSET,F4F_RSET,F4F_FRONT,F4F_MAX_LOT_BLDG,F4F_MAX_LOT_IMP,F4F_PARK_1BR,F4F_PARK_2BR,F4F_CNXN_H2O,F4F_CNXN_TRANSIT,F4F_STORIES,F4F_HEIGHT,F4F_FTA,F4F_MIN_UNIT,F4F_BEDROOMS,F4F_MAX_UNIT,F4F_AFF_COND_ALT,F4F_ELD_COND_ALT,F4F_MIN_LOT_COND_ALT,F4F_MAX_DENS_COND_ALT,F4F_FSET_COND_ALT,F4F_SSET_COND_ALT,F4F_RSET_COND_ALT,F4F_FRONT_COND_ALT,F4F_MAX_LOT_BLDG_COND_ALT,F4F_MAX_LOT_IMP_COND_ALT,F4F_PARK_1BR_COND_ALT,F4F_PARK_2BR_COND_ALT,F4F_CNXN_H2O_COND_ALT,F4F_CNXN_TRANSIT_COND_ALT,F4F_STORIES_COND_ALT,F4F_HEIGHT_COND_ALT,F4F_FTA_COND_ALT,F4F_MIN_UNIT_COND_ALT,F4F_BEDROOMS_COND_ALT,F4F_MAX_UNIT_COND_ALT,F5F_AFF,F5F_ELD,F5F_MIN_LOT,F5F_MAX_DENS,F5F_FSET,F5F_SSET,F5F_RSET,F5F_FRONT,F5F_MAX_LOT_BLDG,F5F_MAX_LOT_IMP,F5F_PARK_1BR,F5F_PARK_2BR,F5F_CNXN_H2O,F5F_CNXN_TRANSIT,F5F_STORIES,F5F_FEET,F5F_FTA,F5F_MIN_UNIT,F5F_BEDROOMS,F5F_MAX_UNIT,F5F_AFF_COND_ALT,F5F_ELD_COND_ALT,F5F_MIN_LOT_COND_ALT,F5F_MAX_DENS_COND_ALT,F5F_FSET_COND_ALT,F5F_SSET_COND_ALT,F5F_RSET_COND_ALT,F5F_FRONT_COND_ALT,F5F_MAX_LOT_BLDG_COND_ALT,F5F_MAX_LOT_IMP_COND_ALT,F5F_PARK_1BR_COND_ALT,F5F_PARK_2BR_COND_ALT,F5F_CNXN_H2O_COND_ALT,F5F_CNXN_TRANSIT_COND_ALT,F5F_STORIES_COND_ALT,F5F_FEET_COND_ALT,F5F_FTA_COND_ALT,F5F_MIN_UNIT_COND_ALT,F5F_BEDROOMS_COND_ALT,F5F_MAX_UNIT_COND_ALT,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MAX_DENS,AFF_PARK_1BR,AFF_PARK_2BR,AFF_MIN_UNIT,AFF_BEDROOMS,AFF_MAX_UNIT,AFF_DEF_COND_ALT,AFF_ELD_ONLY_COND_ALT,AFF_MIN_LOT_COND_ALT,AFF_MAX_DENS_COND_ALT,AFF_PARK_1BR_COND_ALT,AFF_PARK_2BR_COND_ALT,AFF_MIN_UNIT_COND_ALT,AFF_BEDROOMS_COND_ALT,AFF_MAX_UNIT_COND_ALT,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_PARK,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_SIZE,ADU_BEDROOMS,ADU_EMP_REQD_COND_ALT,ADU_RENTER_PROH_COND_ALT,ADU_OWNER_REQD_COND_ALT,ADU_ELD_COND_ALT,ADU_MIN_LOT_COND_ALT,ADU_PARK_COND_ALT,ADU_PRIM_STRUC_COND_ALT,ADU_MAX_PCT_COND_ALT,ADU_MAX_SIZE_COND_ALT,ADU_BEDROOMS_COND_ALT,PRD_MHP,PRD_MIN_LOT,PRD_MAX_DENS,PRD_MAX_UNIT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,PRD_MHP_COND_ALT,PRD_MIN_LOT_COND_ALT,PRD_MAX_DENS_COND_ALT,PRD_MAX_UNIT_COND_ALT,PUD_SUBDV_COND_ALT,PUD_THRESH_COND_ALT,PUD_ALLOW_COND_ALT,PUD_CONSERVE_COND_ALT,BYLAW_EFF,Version,Acres,Shape_Length,Shape_Area
Essex,NVDA,Ferdinand ,"Ferdinand Commercial, Industrial, Residential District","Commercial, Industrial, Residential District",Cir,Yes,No,No,Mixed with Residential,No,No,Permitted,Permitted,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Not Mentioned,,Minimum Lot Width Of 200',1.000000000000000,,,,,,,,,,,,,50'; 100' From Seasonal High Water Mark,25'; 100' From Seasonal High Water Mark,25'; 100' From Seasonal High Water Mark,,,,,,,,,No,No,,,,,,,,,,,,,,,,,2 Acres; 1/Family,,50'; 100' From Seasonal High Water Mark,25'; 100' From Seasonal High Water Mark,25'; 100' From Seasonal High Water Mark,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,3 Acres; 1/Family,,50'; 100' From Seasonal High Water Mark,25'; 100' From Seasonal High Water Mark,25'; 100' From Seasonal High Water Mark,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,4 Acres; 1/Family,,50'; 100' From Seasonal High Water Mark,25'; 100' From Seasonal High Water Mark,25'; 100' From Seasonal High Water Mark,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,5 Acres; 1/Family,,50'; 100' From Seasonal High Water Mark,25'; 100' From Seasonal High Water Mark,25'; 100' From Seasonal High Water Mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,No,1.000000000000000,,No,30.000000000000000,600.000000000000000,1.000000000000000,,,,,,,,,,,,,,,No,,Yes,Yes,,,,,,,,,,1,581.785556228518317,16109.923752418937511,2354406.249280744232237
Essex,NVDA,Ferdinand ,"Ferdinand Forest, Agriculture, And Single Family Home District","Forest, Agriculture, And Single Family Home District",Fasf,Yes,No,No,Mixed with Residential,No,No,Permitted,Prohibited,Prohibited,Prohibited,Prohibited,Allowed/Conditional,Not Mentioned,Not Mentioned,,Minimum Lot Width Is 500',5.000000000000000,,,,,,,,,,,,,50'; 100' From Seasonal High Water Mark,25'; 100' From Seasonal High Water Mark,25'; 100' From Seasonal High Water Mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,No,5.000000000000000,,No,30.000000000000000,600.000000000000000,1.000000000000000,,,,,,,,,,,,,,,No,,Yes,Yes,,,,,,,,,,1,33609.883744227365241,79657.814734465369838,136014583.857984930276871
Essex,NVDA,Ferdinand ,Ferdinand Shore Land District,Shore Land District,Sl,Yes,No,No,Mixed with Residential,No,No,Permitted,Public Hearing,Prohibited,Prohibited,Prohibited,Allowed/Conditional,Not Mentioned,Not Mentioned,,Minimum Lot Width Of 200',1.500000000000000,100.000000000000000,,,,,,,,30.000000000000000,,,,,25'; 100' From Seasonal High Water Mark,25'; 100' From Seasonal High Water Mark,200' On Shore Land At High Water Mark,,,,,,,,No,No,,,100.000000000000000,,,,,,,,,,,,,,3 Acres; 1.5/Family,,,25'; 100' From Seasonal High Water Mark,25'; 100' From Seasonal High Water Mark,200' On Shore Lands At High Water Mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,No,1.500000000000000,,No,30.000000000000000,600.000000000000000,1.000000000000000,,,,,,,,,,,,,,,No,,Yes,Yes,,,,,,,,,,1,375.160000328767524,17931.423068502921524,1518221.000500870170072
Essex,NVDA,Granby ,Granby Forest,Forest,F,Yes,No,No,Mixed with Residential,No,No,Public Hearing,Prohibited,Prohibited,Prohibited,Prohibited,Allowed/Conditional,Not Mentioned,Not Mentioned,,None,2.000000000000000,100.000000000000000,100.000000000000000,100.000000000000000,300.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,No,2.000000000000000,,No,50.000000000000000,,1.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23477.125331502866175,74725.720452320470940,95008702.096286460757256
Essex,NVDA,Granby ,Granby Rural Residential,Rural Residential,Rr,Yes,No,No,Mixed with Residential,No,No,Permitted,Permitted,Prohibited,Prohibited,Prohibited,Allowed/Conditional,Not Mentioned,Not Mentioned,,None,0.750000000000000,50.000000000000000,50.000000000000000,50.000000000000000,250.000000000000000,,,,,,,,,,,,,2500 Square Feet,,,,,,,No,No,1.500000000000000,1.330000000000000,50.000000000000000,50.000000000000000,50.000000000000000,250.000000000000000,,,,,,,,,,,,,,,,,2500 Square Feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,No,0.750000000000000,,No,50.000000000000000,,1.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1227.881304709630740,35908.554746335954405,4969067.014870725572109
Essex,NVDA,Granby ,Granby Village,Village,V,Yes,No,No,Mixed with Residential,No,No,Permitted,Permitted,Prohibited,Prohibited,Prohibited,Allowed/Conditional,Not Mentioned,Not Mentioned,,None,0.500000000000000,30.000000000000000,20.000000000000000,20.000000000000000,100.000000000000000,,,,,,,,,,,,,2500 Square Feet,,,,,,,No,No,1.000000000000000,2.000000000000000,30.000000000000000,20.000000000000000,20.000000000000000,100.000000000000000,,,,,,,,,,,,,,,,,2500 Square Feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,No,0.500000000000000,,No,50.000000000000000,,1.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,137.322902796263236,4161.543665984666404,555726.929023140924983
Orleans,NVDA,Greensboro ,Greensboro Greensboro Bend Village District,Greensboro Bend Village District,Gbv,Yes,No,No,Mixed with Residential,No,No,Permitted,Permitted,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Public Hearing,,None,0.500000000000000,25.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,,,35.000000000000000,,,,,,,,,,,,,,,No,No,0.500000000000000,4.000000000000000,25.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,,,,35.000000000000000,,,,,,,,,,,,,,,,,,,No,No,0.500000000000000,6.000000000000000,25.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,,,No,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,No,No,0.500000000000000,8.000000000000000,25.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,,,No,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,No,No,0.500000000000000,10,25.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,,,No,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,No,0.500000000000000,,No,30.000000000000000,1200.000000000000000,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,1,315.216285328954314,10956.446096863863204,1275637.017984072677791
Orleans,NVDA,Greensboro ,Greensboro Greensboro Village District,Greensboro Village District,Gv,Yes,No,No,Mixed with Residential,No,No,Permitted,Permitted,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Public Hearing,,None,0.500000000000000,50.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,,,35.000000000000000,,,,,,,,,,,,,,,No,No,0.500000000000000,4.000000000000000,50.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,,,,35.000000000000000,,,,,,,,,,,,,,,,,,,No,No,0.500000000000000,6.000000000000000,50.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,,,No,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,No,No,0.500000000000000,8.000000000000000,50.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,,,No,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,No,No,0.500000000000000,10,50.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,,,No,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,No,0.500000000000000,,No,30.000000000000000,1200.000000000000000,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,1,259.148328100862841,6969.691559295780280,1048737.694910515099764
Orleans,NVDA,Greensboro ,Greensboro Resource District,Resource District,Re,Yes,No,No,Mixed with Residential,No,No,Permitted,Public Hearing,Prohibited,Prohibited,Prohibited,Allowed/Conditional,Not Mentioned,Not Mentioned,,  This District Requires Structures to Be At A Minimum Distance Of 300 Feet From Long Pond.,25.000000000000000,50.000000000000000,50.000000000000000,50.000000000000000,500.000000000000000,,,,,35.000000000000000,,,,,,,,,,,,,,,No,No,25.000000000000000,0.080000000000000,50.000000000000000,50.000000000000000,50.000000000000000,500.000000000000000,,,,,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,No,25.000000000000000,,No,30.000000000000000,1200.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3095.878301025274141,28614.137401688574755,12528594.326400816440582
Orleans,NVDA,Greensboro ,Greensboro Rural Lands District,Rural Lands District,Rl,Yes,No,No,Mixed with Residential,No,No,Permitted,Permitted,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Public Hearing,,None,10.000000000000000,50.000000000000000,50.000000000000000,50.000000000000000,300.000000000000000,,,,,35.000000000000000,,,,,,,,,,,,,,,No,No,10.000000000000000,0.200000000000000,50.000000000000000,50.000000000000000,50.000000000000000,300.000000000000000,,,,,,35.000000000000000,,,,,,,,,,,,,,,,,,,No,No,10.000000000000000,0.300000000000000,50.000000000000000,50.000000000000000,50.000000000000000,300.000000000000000,,,,,No,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,No,No,10.000000000000000,0.400000000000000,50.000000000000000,50.000000000000000,50.000000000000000,300.000000000000000,,,,,No,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,No,No,10.000000000000000,0.5,50.000000000000000,50.000000000000000,50.000000000000000,300.000000000000000,,,,,No,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,No,10.000000000000000,,No,30.000000000000000,1200.000000000000000,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,1,23170.660254572092526,90275.009654991969001,93768480.016883879899979
