COUNTY,RPC,JXTN,JXTN_DIST_NAME,DIST_NAME,ABB_DIST_NAME,DIST_MAP,OVER_,EXT_DIST,DIST_TYPE,AFF_DIST,ELD_DIST,F1FDP,F2FDP,F3FDP,F4FDP,F5FDP,ADUDP,AFFDP,PRDDP,BASE_DENS,NOTES,F1F_MIN_LOT,F1F_FSET,F1F_SSET,F1F_RSET,F1F_FRONT,F1F_MAX_LOT_BLDG,F1F_MAX_LOT_IMP,F1F_PARK,F1F_STORIES,F1F_HEIGHT,F1F_FTA,F1F_MIN_UNIT,F1F_MIN_LOT_COND_ALT,F1F_FSET_COND_ALT,F1F_SSET_COND_ALT,F1F_RSET_COND_ALT,F1F_FRONT_COND_ALT,F1F_MAX_LOT_BLDG_COND_ALT,F1F_MAX_LOT_IMP_COND_ALT,F1F_PARK_COND_ALT,F1F_STORIES_COND_ALT,F1F_HEIGHT_COND_ALT,F1F_FTA_COND_ALT,F1F_MIN_UNIT_COND_ALT,F2F_AFF,F2F_ELD,F2F_MIN_LOT,F2F_MAX_DENS,F2F_FSET,F2F_SSET,F2F_RSET,F2F_FRONT,F2F_MAX_LOT_BLDG,F2F_MAX_LOT_IMP,F2F_PARK_1BR,F2F_PARK_2BR,F2F_STORIES,F2F_HEIGHT,F2F_FTA,F2F_MIN_UNIT,F2F_AFF_COND_ALT,F2F_ELD_COND_ALT,F2F_MIN_LOT_COND_ALT,F2F_MAX_DENS_COND_ALT,F2F_FSET_COND_ALT,F2F_SSET_COND_ALT,F2F_RSET_COND_ALT,F2F_FRONT_COND_ALT,F2F_MAX_LOT_BLDG_COND_ALT,F2F_MAX_LOT_IMP_COND_ALT,F2F_PARK_1BR_COND_ALT,F2F_PARK_2BR_COND_ALT,F2F_STORIES_COND_ALT,F2F_HEIGHT_COND_ALT,F2F_FTA_COND_ALT,F2F_MIN_UNIT_COND_ALT,F3F_AFF,F3F_ELD,F3F_MIN_LOT,F3F_MAX_DENS,F3F_FSET,F3F_SSET,F3F_RSET,F3F_FRONT,F3F_MAX_LOT_BLDG,F3F_MAX_LOT_IMP,F3F_PARK_1BR,F3F_PARK_2BR,F3F_CNXN_H2O,F3F_CNXN_TRANSIT,F3F_STORIES,F3F_HEIGHT,F3F_FTA,F3F_MIN_UNIT,F3F_BEDROOMS,F3F_AFF_COND_ALT,F3F_ELD_COND_ALT,F3F_MIN_LOT_COND_ALT,F3F_MAX_DENS_COND_ALT,F3F_FSET_COND_ALT,F3F_SSET_COND_ALT,F3F_RSET_COND_ALT,F3F_FRONT_COND_ALT,F3F_MAX_LOT_BLDG_COND_ALT,F3F_MAX_LOT_IMP_COND_ALT,F3F_PARK_1BR_COND_ALT,F3F_PARK_2BR_COND_ALT,F3F_CNXN_H2O_COND_ALT,F3F_CNXN_TRANSIT_COND_ALT,F3F_STORIES_COND_ALT,F3F_HEIGHT_COND_ALT,F3F_FTA_COND_ALT,F3F_MIN_UNIT_COND_ALT,F3F_BEDROOMS_COND_ALT,F4F_AFF,F4F_ELD,F4F_MIN_LOT,F4F_MAX_DENS,F4F_FSET,F4F_SSET,F4F_RSET,F4F_FRONT,F4F_MAX_LOT_BLDG,F4F_MAX_LOT_IMP,F4F_PARK_1BR,F4F_PARK_2BR,F4F_CNXN_H2O,F4F_CNXN_TRANSIT,F4F_STORIES,F4F_HEIGHT,F4F_FTA,F4F_MIN_UNIT,F4F_BEDROOMS,F4F_MAX_UNIT,F4F_AFF_COND_ALT,F4F_ELD_COND_ALT,F4F_MIN_LOT_COND_ALT,F4F_MAX_DENS_COND_ALT,F4F_FSET_COND_ALT,F4F_SSET_COND_ALT,F4F_RSET_COND_ALT,F4F_FRONT_COND_ALT,F4F_MAX_LOT_BLDG_COND_ALT,F4F_MAX_LOT_IMP_COND_ALT,F4F_PARK_1BR_COND_ALT,F4F_PARK_2BR_COND_ALT,F4F_CNXN_H2O_COND_ALT,F4F_CNXN_TRANSIT_COND_ALT,F4F_STORIES_COND_ALT,F4F_HEIGHT_COND_ALT,F4F_FTA_COND_ALT,F4F_MIN_UNIT_COND_ALT,F4F_BEDROOMS_COND_ALT,F4F_MAX_UNIT_COND_ALT,F5F_AFF,F5F_ELD,F5F_MIN_LOT,F5F_MAX_DENS,F5F_FSET,F5F_SSET,F5F_RSET,F5F_FRONT,F5F_MAX_LOT_BLDG,F5F_MAX_LOT_IMP,F5F_PARK_1BR,F5F_PARK_2BR,F5F_CNXN_H2O,F5F_CNXN_TRANSIT,F5F_STORIES,F5F_FEET,F5F_FTA,F5F_MIN_UNIT,F5F_BEDROOMS,F5F_MAX_UNIT,F5F_AFF_COND_ALT,F5F_ELD_COND_ALT,F5F_MIN_LOT_COND_ALT,F5F_MAX_DENS_COND_ALT,F5F_FSET_COND_ALT,F5F_SSET_COND_ALT,F5F_RSET_COND_ALT,F5F_FRONT_COND_ALT,F5F_MAX_LOT_BLDG_COND_ALT,F5F_MAX_LOT_IMP_COND_ALT,F5F_PARK_1BR_COND_ALT,F5F_PARK_2BR_COND_ALT,F5F_CNXN_H2O_COND_ALT,F5F_CNXN_TRANSIT_COND_ALT,F5F_STORIES_COND_ALT,F5F_FEET_COND_ALT,F5F_FTA_COND_ALT,F5F_MIN_UNIT_COND_ALT,F5F_BEDROOMS_COND_ALT,F5F_MAX_UNIT_COND_ALT,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MAX_DENS,AFF_PARK_1BR,AFF_PARK_2BR,AFF_MIN_UNIT,AFF_BEDROOMS,AFF_MAX_UNIT,AFF_DEF_COND_ALT,AFF_ELD_ONLY_COND_ALT,AFF_MIN_LOT_COND_ALT,AFF_MAX_DENS_COND_ALT,AFF_PARK_1BR_COND_ALT,AFF_PARK_2BR_COND_ALT,AFF_MIN_UNIT_COND_ALT,AFF_BEDROOMS_COND_ALT,AFF_MAX_UNIT_COND_ALT,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_PARK,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_SIZE,ADU_BEDROOMS,ADU_EMP_REQD_COND_ALT,ADU_RENTER_PROH_COND_ALT,ADU_OWNER_REQD_COND_ALT,ADU_ELD_COND_ALT,ADU_MIN_LOT_COND_ALT,ADU_PARK_COND_ALT,ADU_PRIM_STRUC_COND_ALT,ADU_MAX_PCT_COND_ALT,ADU_MAX_SIZE_COND_ALT,ADU_BEDROOMS_COND_ALT,PRD_MHP,PRD_MIN_LOT,PRD_MAX_DENS,PRD_MAX_UNIT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,PRD_MHP_COND_ALT,PRD_MIN_LOT_COND_ALT,PRD_MAX_DENS_COND_ALT,PRD_MAX_UNIT_COND_ALT,PUD_SUBDV_COND_ALT,PUD_THRESH_COND_ALT,PUD_ALLOW_COND_ALT,PUD_CONSERVE_COND_ALT,BYLAW_EFF,Version,Acres,Shape_Length,Shape_Area
Orange,TRORC,Fairlee ,Fairlee Flood Hazard Area Overlay,Flood Hazard Area Overlay,Fhao,Yes,Yes,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,  All New Structures Are Prohibited In This Protection Area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,395.755497664986422,35129.179302533928421,1601568.149835035204887
Orange,TRORC,Fairlee ,Fairlee Interchange,Interchange,I,Yes,No,No,Mixed with Residential,No,No,Permitted,Permitted,Permitted,Public Hearing,Allowed/Conditional,Allowed/Conditional,Not Mentioned,Not Mentioned,,None,0.460000000000000,50.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,1.000000000000000,,40.000000000000000,,,,,,,,,,,,,,,No,No,0.460000000000000,4.300000000000000,50.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,2.000000000000000,2.000000000000000,,40.000000000000000,,,,,,,,,,,,,,,,,,,No,No,0.460000000000000,6.500000000000000,50.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,2.000000000000000,2.000000000000000,Yes,No,,40.000000000000000,,,,,,,,,,,,,,,,,,,,,,,No,No,0.460000000000000,8.699999999999999,50.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,2.000000000000000,2.000000000000000,Yes,No,,40.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,No,No,0.460000000000000,10.9,50.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,2.000000000000000,2.000000000000000,Yes,No,,40.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,0.460000000000000,1.000000000000000,No,30.000000000000000,900.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.873027882079533,1870.163510063257718,137079.492046213272261
Orange,TRORC,Fairlee ,Fairlee Lake Fairlee,Lake Fairlee,Lf,Yes,No,No,Primarily Residential,No,No,Permitted,Permitted,Prohibited,Prohibited,Prohibited,Allowed/Conditional,Not Mentioned,Not Mentioned,,None,2.000000000000000,,15.000000000000000,15.000000000000000,150.000000000000000,,,1.000000000000000,,35.000000000000000,,,,50 From Road; 100 From Lakeshore,,,,,,,,,,,No,No,2.000000000000000,1.000000000000000,,15.000000000000000,15.000000000000000,150.000000000000000,,,1.000000000000000,1.000000000000000,,35.000000000000000,,,,,,,50 From Road; 100 From Lakeshore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,2.000000000000000,1.000000000000000,No,30.000000000000000,900.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,174.206214122797462,6452.540303243810740,704988.624765979824588
Orange,TRORC,Fairlee ,Fairlee Lake Morley,Lake Morley,Lm,Yes,No,No,Mixed with Residential,No,No,Public Hearing,Public Hearing,Prohibited,Prohibited,Prohibited,Allowed/Conditional,Not Mentioned,Not Mentioned,,None,,,15.000000000000000,15.000000000000000,150.000000000000000,,,1.000000000000000,,35.000000000000000,,,0.46 Off-Lot Water On-Lot Sewage; 0.91 On-Lot Water And Sewage,50 From Road; 100 From Lakeshore,,,,,,,,,,,No,No,,,,15.000000000000000,15.000000000000000,150.000000000000000,,,1.000000000000000,1.000000000000000,,35.000000000000000,,,,,0.46 Off-Lot Water On-Lot Sewage; 0.91 On-Lot Water And Sewage,4.3 Off-Lot Water On-Lot Sewage; 2.2 On-Lot Water And Sewage,50 From Road; 100 From Lakeshore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,,1.000000000000000,No,30.000000000000000,900.000000000000000,,,,,,0.46 Off-Lot Water On-Lot Sewage; 0.91 On-Lot Water And Sewage,,,,,,,,,,,,,,,,,,,,,,,1,238.956059904389662,16294.169783388846554,967022.358529328252189
Orange,TRORC,Fairlee ,Fairlee Lakeshore Resort,Lakeshore Resort,Lr,Yes,No,No,Mixed with Residential,No,No,Public Hearing,Prohibited,Prohibited,Prohibited,Prohibited,Allowed/Conditional,Not Mentioned,Not Mentioned,,None,,,15.000000000000000,15.000000000000000,100.000000000000000,,,1.000000000000000,,40.000000000000000,,,0.46 Off-Lot Water On-Lot Sewage; 0.91 On-Lot Water And Sewage,50 From Road; 100 From Lakeshore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,,1.000000000000000,No,30.000000000000000,900.000000000000000,,,,,,0.46 Off-Lot Water On-Lot Sewage; 0.91 On-Lot Water And Sewage,,,,,,,,,,,,,,,,,,,,,,,1,156.663167408509963,7479.098069465390836,633994.323904858087189
Orange,TRORC,Fairlee ,Fairlee Mixed Use,Mixed Use,Mu,Yes,No,No,Mixed with Residential,No,No,Permitted,Permitted,Prohibited,Prohibited,Prohibited,Allowed/Conditional,Not Mentioned,Not Mentioned,,None,,50.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,1.000000000000000,,35.000000000000000,,,0.46 Off-Lot Water On-Lot Sewage; 0.91 On-Lot Water And Sewage,,,,,,,,,,,,No,No,,,50.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,1.000000000000000,1.000000000000000,,35.000000000000000,,,,,0.46 Off-Lot Water On-Lot Sewage; 0.91 On-Lot Water And Sewage,4.3 Off-Lot Water On-Lot Sewage; 2.2 On-Lot Water And Sewage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,,1.000000000000000,No,30.000000000000000,900.000000000000000,,,,,,0.46 Off-Lot Water On-Lot Sewage; 0.91 On-Lot Water And Sewage,,,,,,,,,,,,,,,,,,,,,,,1,503.637330036401295,17699.554954653165623,2038151.109999398002401
Orange,TRORC,Fairlee ,Fairlee Receiving Area Overlay,Receiving Area Overlay,Rao,Yes,Yes,No,Overlay not Affecting Use,No,No,Overlay,Overlay,Overlay,Overlay,Overlay,Overlay,Overlay,Overlay,,"  As Delineated As An Overlay District On The Zoning Map, Otherwise Qualified Class B Lots (Served My On-Lot Water And Sewage) May Be Waived Down to 1-Acre Minimum Lot Sizes With The Transfer Of Subdivision Rights.",,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,,1.000000000000000,No,30.000000000000000,900.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1523.822239294019255,32074.795390998773655,6166699.335480946116149
Orange,TRORC,Fairlee ,Fairlee Residential,Residential,R,Yes,No,No,Primarily Residential,No,No,Permitted,Permitted,Public Hearing,Public Hearing,Prohibited,Allowed/Conditional,Not Mentioned,Not Mentioned,,None,,,,,,,,1.000000000000000,,35.000000000000000,,,0.46 Off-Lot Water On-Lot Sewage; 2 On-Lot Water And Sewage,50 Off-Lot Water On-Lot Sewage; 60 On-Lot Water And Sewage,15 Off-Lot Water On-Lot Sewage; 25 On-Lot Water And Sewage,15 Off-Lot Water On-Lot Sewage; 25 On-Lot Water And Sewage,100 Off-Lot Water On-Lot Sewage; 200 On-Lot Water And Sewage,,,,,,,,No,No,,,,,,,,,1.000000000000000,1.000000000000000,,35.000000000000000,,,,,0.46 Off-Lot Water On-Lot Sewage; 2 On-Lot Water And Sewage,4.3 Off-Lot Water On-Lot Sewage; 1 On-Lot Water And Sewage,50 Off-Lot Water On-Lot Sewage; 60 On-Lot Water And Sewage,15 Off-Lot Water On-Lot Sewage; 25 On-Lot Water And Sewage,15 Off-Lot Water On-Lot Sewage; 25 On-Lot Water And Sewage,100 Off-Lot Water On-Lot Sewage; 200 On-Lot Water And Sewage,,,,,,,,,No,No,0.460000000000000,6.500000000000000,50.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,1.000000000000000,1.000000000000000,Yes,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,No,No,0.460000000000000,8.699999999999999,50.000000000000000,15.000000000000000,15.000000000000000,100.000000000000000,,,1.000000000000000,1.000000000000000,Yes,No,,35.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,,1.000000000000000,No,30.000000000000000,900.000000000000000,,,,,,0.46 Off-Lot Water On-Lot Sewage; 2 On-Lot Water And Sewage,,,,,,,,,,,,,,,,,,,,,,,1,2544.744331311389487,66696.777928657262237,10298230.838353693485260
Orange,TRORC,Fairlee ,Fairlee Rural Resource,Rural Resource,Rr,Yes,No,No,Mixed with Residential,No,No,Permitted,Prohibited,Prohibited,Prohibited,Prohibited,Allowed/Conditional,Not Mentioned,Not Mentioned,,None,10.000000000000000,65.000000000000000,40.000000000000000,40.000000000000000,400.000000000000000,,,1.000000000000000,,25.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,10.000000000000000,1.000000000000000,No,30.000000000000000,900.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8500.392971995392145,67248.296456538679195,34399922.996278472244740
Orange,TRORC,Fairlee ,Fairlee Village,Village,V,Yes,No,No,Mixed with Residential,No,No,Permitted,Permitted,Permitted,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Not Mentioned,,None,0.460000000000000,50.000000000000000,15.000000000000000,15.000000000000000,75.000000000000000,,,1.000000000000000,3.000000000000000,40.000000000000000,,,,,,,,,,,,,,,No,No,0.460000000000000,4.300000000000000,50.000000000000000,15.000000000000000,15.000000000000000,75.000000000000000,,,2.000000000000000,2.000000000000000,3.000000000000000,40.000000000000000,,,,,,,,,,,,,,,,,,,No,No,0.460000000000000,6.500000000000000,50.000000000000000,15.000000000000000,15.000000000000000,75.000000000000000,,,2.000000000000000,2.000000000000000,Yes,No,3.000000000000000,40.000000000000000,,,,,,,,,,,,,,,,,,,,,,,No,No,0.460000000000000,8.699999999999999,50.000000000000000,15.000000000000000,15.000000000000000,75.000000000000000,,,2.000000000000000,2.000000000000000,Yes,No,3.000000000000000,40.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,No,No,0.460000000000000,10.9,50.000000000000000,15.000000000000000,15.000000000000000,75.000000000000000,,,2.000000000000000,2.000000000000000,Yes,No,3.000000000000000,40.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,0.460000000000000,1.000000000000000,No,30.000000000000000,900.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,115.752502295710656,5324.532041030005530,468434.480466646375135
